trial LL w 
1 -9139.682 0.42253
2 -9269.788 0.45641
3 -9226.604 0.53291
4 -9048.440 0.54844
5 -9116.740 0.46905
6 -9313.681 0.48821
7 -9221.328 0.53702
8 -9079.103 0.50095
9 -9162.019 0.50843
10 -9082.066 0.61991
11 -9112.510 0.50234
12 -9149.969 0.42730
13 -9012.824 0.48090
14 -9302.560 0.62860
15 -9177.445 0.63456
16 -9170.467 0.48982
17 -9380.408 0.48308
18 -9256.437 0.60322
19 -9209.120 0.47331
20 -9219.136 0.45477
21 -9279.429 0.46515
22 -9160.379 0.55658
23 -9132.168 0.42136
24 -9292.822 0.55933
25 -9360.548 0.55036
26 -9212.567 0.50694
27 -9144.679 0.44204
28 -9470.298 0.59836
29 -9169.270 0.55868
30 -9184.706 0.52955
31 -9223.498 0.58243
32 -9134.404 0.53039
33 -9100.441 0.46338
34 -9176.796 0.52867
35 -9136.088 0.43893
36 -9239.532 0.56699
37 -9282.849 0.52788
38 -9328.103 0.53514
39 -9281.186 0.62269
40 -9329.329 0.49677
41 -9228.509 0.51477
42 -9184.472 0.53054
43 -9374.061 0.46937
44 -9070.089 0.58135
45 -9060.714 0.39807
46 -9237.904 0.48229
47 -9122.608 0.52596
48 -9556.809 0.51827
49 -9246.839 0.54973
50 -9350.558 0.49156
