trial LL p0 p1 w0 w1 
1 -8798.255 0.49559 0.50441 0.22033 0.63824
2 -8933.425 0.34221 0.65779 0.21365 0.53593
3 -8905.272 0.58819 0.41181 0.28419 0.73236
4 -8749.900 0.38139 0.61861 0.21587 0.65184
5 -8816.256 0.46097 0.53903 0.21515 0.57525
6 -8908.540 0.45565 0.54435 0.21851 0.61898
7 -8815.570 0.56651 0.43349 0.26147 0.70934
8 -8716.885 0.43680 0.56320 0.22455 0.66797
9 -8797.446 0.46870 0.53130 0.23627 0.68353
10 -8689.045 0.23838 0.76162 0.15524 0.57593
11 -8745.494 0.51074 0.48926 0.23083 0.65976
12 -8761.032 0.43132 0.56868 0.18444 0.54125
13 -8755.357 0.44352 0.55648 0.23915 0.63359
14 -8975.299 0.58307 0.41693 0.29855 0.93861
15 -8797.563 0.46802 0.53198 0.28260 0.78209
16 -8832.987 0.25604 0.74396 0.16192 0.55162
17 -8971.199 0.41231 0.58769 0.19169 0.61096
18 -8919.381 0.27905 0.72095 0.18040 0.62244
19 -8851.532 0.37165 0.62835 0.17982 0.56715
20 -8877.423 0.42241 0.57759 0.19128 0.56944
21 -8930.950 0.40081 0.59919 0.22913 0.60148
22 -8809.038 0.52778 0.47222 0.25300 0.72937
23 -8804.284 0.70994 0.29006 0.28472 0.72363
24 -8889.083 0.31103 0.68897 0.17426 0.57930
25 -8984.618 0.54298 0.45702 0.26537 0.70840
26 -8860.176 0.46555 0.53445 0.22673 0.61223
27 -8769.707 0.33021 0.66979 0.14104 0.52026
28 -9104.446 0.35342 0.64658 0.24615 0.68927
29 -8852.952 0.48300 0.51700 0.25700 0.66223
30 -8854.345 0.43488 0.56512 0.21152 0.63498
31 -8863.738 0.43485 0.56515 0.25042 0.64360
32 -8805.211 0.72881 0.27119 0.31975 0.86681
33 -8733.296 0.59257 0.40743 0.25214 0.71661
34 -8844.751 0.20242 0.79758 0.14645 0.57213
35 -8816.023 0.47756 0.52244 0.22967 0.54537
36 -8901.638 0.41115 0.58885 0.25965 0.61841
37 -8918.306 0.49097 0.50903 0.25180 0.67390
38 -9035.295 0.47958 0.52042 0.26222 0.69466
39 -8911.249 0.51226 0.48774 0.25941 0.75026
40 -8959.636 0.28487 0.71513 0.18456 0.55002
41 -8836.441 0.43388 0.56612 0.23790 0.58448
42 -8874.015 0.37166 0.62834 0.22600 0.63133
43 -9023.389 0.70831 0.29169 0.30547 0.84820
44 -8719.077 0.42731 0.57269 0.22163 0.73737
45 -8714.294 0.43245 0.56755 0.18676 0.58895
46 -8860.123 0.54821 0.45179 0.25848 0.71817
47 -8735.756 0.53337 0.46663 0.25797 0.71455
48 -9188.772 0.44455 0.55545 0.23871 0.67898
49 -8911.037 0.24835 0.75165 0.17002 0.56398
50 -8961.198 0.42510 0.57490 0.20237 0.58860
