trial LL p0 p1 p2 w0 w1 w2 
1 -8794.015 0.07361 0.58401 0.34238 0.07762 0.30108 0.74934
2 -8928.589 0.12144 0.80884 0.06972 0.12110 0.42442 1.14944
3 -8902.557 0.17331 0.60458 0.22211 0.17610 0.40206 0.91594
4 -8745.068 0.15765 0.65048 0.19187 0.12985 0.44116 0.99133
5 -8815.500 0.30414 0.47219 0.22367 0.18268 0.40877 0.73756
6 -8903.700 0.08538 0.54404 0.37058 0.08201 0.31181 0.71595
7 -8811.225 0.08680 0.60984 0.30336 0.10027 0.33567 0.81198
8 -8710.336 0.23445 0.64864 0.11692 0.15883 0.47919 1.22125
9 -8789.091 0.06874 0.59051 0.34075 0.07010 0.33660 0.82854
10 -8687.878 0.19502 0.67283 0.13215 0.13719 0.50600 0.89093
11 -8739.129 0.18618 0.63545 0.17836 0.14026 0.39765 1.00953
12 -8754.531 0.03865 0.51853 0.44282 0.02695 0.23793 0.60357
13 -8745.160 0.04390 0.70150 0.25460 0.04133 0.35511 0.85733
14 -8973.090 0.46797 0.42259 0.10945 0.26845 0.68803 1.50447
15 -8788.489 0.13314 0.72538 0.14148 0.13831 0.49981 1.37900
16 -8829.686 0.11890 0.49364 0.38746 0.10049 0.36054 0.69888
17 -8965.321 0.19525 0.59234 0.21241 0.12486 0.38837 0.91778
18 -8917.700 0.22376 0.65776 0.11848 0.15836 0.53696 1.01313
19 -8850.369 0.01157 0.39373 0.59471 0.00778 0.19908 0.58227
20 -8872.370 0.31995 0.60107 0.07898 0.16653 0.46267 1.18756
21 -8927.885 0.21111 0.65867 0.13023 0.17211 0.45238 1.01867
22 -8804.701 0.02512 0.56471 0.41017 0.03110 0.28742 0.77177
23 -8797.343 0.36332 0.58392 0.05276 0.21288 0.46277 1.62385
24 -8885.285 0.28039 0.70391 0.01570 0.16400 0.55178 2.25631
25 -8978.919 0.21004 0.64499 0.14497 0.17300 0.44028 1.08616
26 -8858.075 0.06875 0.53300 0.39825 0.09552 0.29723 0.68436
27 -8766.845 0.09747 0.36496 0.53756 0.06610 0.23226 0.57418
28 -9103.666 0.29771 0.60530 0.09699 0.22788 0.60664 1.08692
29 -8852.584 0.38829 0.41710 0.19461 0.23673 0.51947 0.83172
30 -8846.588 0.22896 0.64464 0.12640 0.15207 0.44540 1.18847
31 -8863.738 0.43485 0.56515 0.00000 0.25042 0.64360 0.83817
32 -8795.569 0.14985 0.74070 0.10945 0.14030 0.43161 1.28242
33 -8733.296 0.59257 0.40743 0.00000 0.25214 0.71661 6.82319
34 -8837.615 0.12931 0.69453 0.17615 0.10389 0.45920 0.99746
35 -8814.558 0.22722 0.59214 0.18063 0.17324 0.38137 0.73886
36 -8898.108 0.31535 0.66505 0.01959 0.23442 0.55695 2.39885
37 -8917.375 0.34865 0.47424 0.17712 0.21882 0.49871 0.91197
38 -9026.462 0.23589 0.71351 0.05060 0.18327 0.52497 2.06495
39 -8911.249 0.51226 0.48774 0.00000 0.25941 0.75026 31.91524
40 -8959.636 0.28487 0.71513 0.00000 0.18456 0.55002 11.05612
41 -8833.665 0.35381 0.63383 0.01236 0.21780 0.53670 2.20374
42 -8872.482 0.33144 0.66230 0.00626 0.21398 0.60804 6.69501
43 -9022.441 0.03724 0.70801 0.25474 0.11159 0.33210 0.89683
44 -8717.016 0.03358 0.44433 0.52209 0.05234 0.26150 0.76958
45 -8708.025 0.01635 0.49797 0.48568 0.00000 0.22311 0.63537
46 -8860.123 0.54821 0.45179 0.00000 0.25848 0.71817 10.17192
47 -8729.414 0.08731 0.63179 0.28090 0.08905 0.35814 0.86997
48 -9186.298 0.07865 0.47780 0.44355 0.10722 0.31489 0.74202
49 -8905.111 0.08451 0.56701 0.34848 0.07652 0.37155 0.75269
50 -8957.664 0.31432 0.62378 0.06190 0.17170 0.49377 1.26051
