trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -8793.262 0.06308 0.55527 0.37767 0.00398 0.07028 0.28757 0.70615 3.89375
2 -8927.887 0.07642 0.45332 0.44100 0.02926 0.09549 0.32646 0.54671 1.54649
3 -8902.557 0.17331 0.60458 0.05563 0.16648 0.17610 0.40206 0.91594 0.91594
4 -8743.821 0.01128 0.26703 0.63138 0.09030 0.00000 0.19656 0.53051 1.27353
5 -8815.500 0.30414 0.47219 0.12392 0.09975 0.18268 0.40877 0.73756 0.73757
6 -8903.700 0.08538 0.54404 0.24774 0.12283 0.08201 0.31181 0.71595 0.71595
7 -8811.225 0.08680 0.60984 0.30336 0.00000 0.10027 0.33567 0.81198 7.31836
8 -8710.336 0.23445 0.08175 0.56689 0.11692 0.15883 0.47919 0.47919 1.22125
9 -8789.091 0.06874 0.16682 0.42369 0.34075 0.07010 0.33660 0.33660 0.82854
10 -8687.878 0.19502 0.17696 0.49586 0.13215 0.13719 0.50600 0.50600 0.89093
11 -8745.494 0.51074 0.00000 0.48926 0.00000 0.23083 0.40308 0.65976 58.45118
12 -8754.531 0.03865 0.51853 0.44282 0.00000 0.02695 0.23793 0.60357 0.67451
13 -8745.160 0.04390 0.70150 0.25460 0.00000 0.04133 0.35511 0.85733 27.39892
14 -8971.607 0.03746 0.52528 0.36263 0.07463 0.08864 0.31850 0.79875 1.64497
15 -8788.489 0.13314 0.72538 0.14148 0.00000 0.13831 0.49981 1.37900 36.25127
16 -8829.686 0.11890 0.49364 0.12748 0.25998 0.10049 0.36054 0.69888 0.69888
17 -8965.321 0.19525 0.59234 0.21241 0.00000 0.12486 0.38837 0.91778 27.97030
18 -8917.700 0.22375 0.65556 0.00225 0.11844 0.15836 0.53681 0.58399 1.01317
19 -8849.943 0.29000 0.58083 0.12918 0.00000 0.15823 0.46696 0.88577 41.05406
20 -8872.370 0.31995 0.12372 0.47736 0.07898 0.16653 0.46267 0.46267 1.18756
21 -8927.885 0.21111 0.27725 0.38142 0.13023 0.17211 0.45238 0.45238 1.01867
22 -8804.701 0.02512 0.56471 0.41017 0.00000 0.03110 0.28742 0.77177 24.43833
23 -8797.343 0.01902 0.34430 0.58392 0.05276 0.21288 0.21288 0.46277 1.62385
24 -8884.842 0.08283 0.25895 0.64414 0.01408 0.09554 0.23059 0.57477 2.35308
25 -8978.842 0.18997 0.61156 0.16443 0.03404 0.16707 0.41794 0.85608 1.56524
26 -8858.045 0.06192 0.49447 0.36557 0.07804 0.09148 0.28474 0.61121 0.87423
27 -8765.652 0.06794 0.30466 0.59721 0.03020 0.05458 0.19152 0.51296 1.27575
28 -9103.666 0.29771 0.33552 0.26978 0.09699 0.22788 0.60664 0.60664 1.08692
29 -8852.584 0.38829 0.41710 0.19461 0.00000 0.23673 0.51947 0.83172 20.07487
30 -8846.588 0.22896 0.64464 0.12640 0.00000 0.15207 0.44540 1.18847 20.11708
31 -8863.738 0.43485 0.56515 0.00000 0.00000 0.25042 0.64360 1.85495 6.66625
32 -8795.305 0.01807 0.19326 0.68633 0.10233 0.03620 0.19409 0.45075 1.31092
33 -8727.563 0.08855 0.64335 0.04716 0.22095 0.08707 0.32904 0.85109 0.85109
34 -8837.615 0.12931 0.28337 0.41116 0.17615 0.10389 0.45920 0.45920 0.99746
35 -8814.558 0.22722 0.59213 0.18065 0.00000 0.17324 0.38137 0.73883 2.81528
36 -8898.108 0.31535 0.64970 0.01535 0.01959 0.23442 0.55695 0.55695 2.39885
37 -8917.375 0.34865 0.47424 0.17711 0.00000 0.21882 0.49871 0.91197 1.79409
38 -9025.563 0.09145 0.39387 0.47211 0.04256 0.11903 0.33110 0.61339 2.18761
39 -8909.522 0.00801 0.52954 0.46245 0.00000 0.00000 0.27321 0.76803 9.18673
40 -8955.982 0.17927 0.68353 0.13720 0.00000 0.14516 0.44358 0.94705 26.20081
41 -8833.526 0.01218 0.38421 0.59199 0.01163 0.06979 0.23853 0.55101 2.26050
42 -8869.643 0.04957 0.48137 0.46414 0.00491 0.06566 0.31600 0.70003 6.78717
43 -9022.441 0.03724 0.70801 0.25474 0.00000 0.11159 0.33210 0.89683 54.00651
44 -8717.016 0.00000 0.03358 0.44433 0.52209 0.00000 0.05234 0.26150 0.76958
45 -8708.025 0.00504 0.01131 0.49797 0.48568 0.00000 0.00000 0.22311 0.63537
46 -8857.047 0.18695 0.51033 0.17829 0.12443 0.16414 0.38157 0.68508 1.03687
47 -8729.414 0.08731 0.63179 0.28090 0.00000 0.08905 0.35814 0.86997 42.37944
48 -9186.298 0.07865 0.47780 0.13652 0.30703 0.10722 0.31489 0.74202 0.74202
49 -8904.801 0.07721 0.41652 0.45508 0.05120 0.07245 0.33258 0.61214 1.17377
50 -8957.664 0.31432 0.62378 0.06190 0.00000 0.17170 0.49377 1.26051 14.13799
