trial LL w 
1 -8595.163 0.21742
2 -8629.561 0.16852
3 -8539.188 0.16008
4 -8753.898 0.17311
5 -8525.753 0.16794
6 -8572.489 0.16129
7 -8549.302 0.18019
8 -8647.557 0.20792
9 -8676.560 0.17064
10 -8516.635 0.17765
11 -8541.889 0.16924
12 -8376.399 0.16340
13 -8647.696 0.17071
14 -8453.061 0.19312
15 -8401.304 0.16760
16 -8629.188 0.19043
17 -8478.741 0.14844
18 -8283.663 0.14080
19 -8459.183 0.17430
20 -8316.589 0.18096
21 -8581.358 0.15993
22 -8749.097 0.18863
23 -8470.842 0.13332
24 -8482.150 0.15863
25 -7893.033 0.16446
26 -8191.122 0.16935
27 -8662.158 0.16756
28 -8708.967 0.17214
29 -8440.310 0.15378
30 -8379.900 0.16969
31 -8244.834 0.14520
32 -8515.097 0.16930
33 -8474.513 0.15636
34 -8415.298 0.15452
35 -8576.443 0.15952
36 -8503.209 0.18534
37 -8362.079 0.15601
38 -8850.675 0.17738
39 -8490.452 0.16765
40 -8547.753 0.19620
41 -8461.388 0.14502
42 -8339.898 0.14653
43 -8681.119 0.20004
44 -8615.138 0.18304
45 -8430.515 0.17353
46 -8395.970 0.15105
47 -8578.435 0.18571
48 -8594.871 0.16164
49 -8590.567 0.17913
50 -8635.882 0.15864
