trial LL p0 p1 w0 w1 
1 -8228.527 0.34475 0.65525 0.06472 0.29300
2 -8229.875 0.39256 0.60744 0.05863 0.25477
3 -8148.732 0.37644 0.62356 0.05614 0.25031
4 -8358.480 0.49674 0.50326 0.07446 0.30220
5 -8152.409 0.37198 0.62802 0.06057 0.26109
6 -8170.712 0.46521 0.53479 0.06375 0.30218
7 -8171.314 0.33944 0.66056 0.04576 0.25465
8 -8247.123 0.33654 0.66346 0.06135 0.27643
9 -8315.703 0.41098 0.58902 0.06382 0.27229
10 -8115.487 0.28152 0.71848 0.03164 0.22596
11 -8147.421 0.41001 0.58999 0.06142 0.25752
12 -7998.019 0.24954 0.75046 0.02679 0.22348
13 -8234.799 0.35782 0.64218 0.05558 0.26036
14 -8131.612 0.34230 0.65770 0.05623 0.28182
15 -8044.910 0.35711 0.64289 0.04969 0.23676
16 -8202.000 0.58173 0.41827 0.08475 0.35702
17 -8137.391 0.34899 0.65101 0.05104 0.21708
18 -7943.348 0.68842 0.31158 0.09621 0.32297
19 -8170.755 0.25720 0.74280 0.04153 0.22674
20 -7961.239 0.58294 0.41706 0.08736 0.31913
21 -8264.835 0.47446 0.52554 0.08573 0.25868
22 -8350.153 0.38756 0.61244 0.06586 0.29581
23 -8096.265 0.51106 0.48894 0.05902 0.23678
24 -8156.606 0.53022 0.46978 0.08702 0.29708
25 -7559.378 0.49445 0.50555 0.06513 0.25877
26 -7874.519 0.44392 0.55608 0.06272 0.26184
27 -8297.479 0.33535 0.66465 0.06040 0.24999
28 -8320.847 0.31555 0.68445 0.05212 0.25813
29 -8031.554 0.60922 0.39078 0.07811 0.31408
30 -8049.667 0.41478 0.58522 0.06492 0.27569
31 -7898.880 0.51958 0.48042 0.06252 0.25161
32 -8164.820 0.33079 0.66921 0.05055 0.26739
33 -8132.221 0.38328 0.61672 0.05788 0.24878
34 -8071.810 0.21321 0.78679 0.03193 0.19087
35 -8221.246 0.67026 0.32974 0.09644 0.36938
36 -8132.086 0.28810 0.71190 0.04518 0.25749
37 -8023.580 0.52151 0.47849 0.07829 0.28552
38 -8502.772 0.22996 0.77004 0.04191 0.24318
39 -8115.962 0.53270 0.46730 0.08135 0.30025
40 -8179.719 0.38604 0.61396 0.06456 0.32691
41 -8129.037 0.69081 0.30919 0.09637 0.28909
42 -8023.657 0.54592 0.45408 0.08365 0.29271
43 -8286.773 0.39509 0.60491 0.06672 0.30021
44 -8230.544 0.44049 0.55951 0.07616 0.26617
45 -8075.735 0.46500 0.53500 0.07182 0.27969
46 -8063.084 0.40972 0.59028 0.05997 0.24384
47 -8174.667 0.49273 0.50727 0.08072 0.28389
48 -8238.815 0.42717 0.57283 0.06848 0.26391
49 -8237.585 0.41233 0.58767 0.06871 0.28241
50 -8265.923 0.56162 0.43838 0.08707 0.31146
