trial LL p0 p1 p2 w0 w1 w2 
1 -8214.816 0.13201 0.60352 0.26448 0.01254 0.17317 0.42976
2 -8218.146 0.11273 0.53777 0.34949 0.00824 0.12206 0.32971
3 -8144.158 0.14942 0.43209 0.41849 0.02118 0.11985 0.29697
4 -8351.498 0.11968 0.51452 0.36580 0.01650 0.11744 0.35420
5 -8140.999 0.12427 0.56622 0.30951 0.01161 0.13910 0.35996
6 -8166.266 0.14421 0.43054 0.42525 0.02051 0.10715 0.33918
7 -8165.938 0.25611 0.56687 0.17702 0.03164 0.18995 0.40392
8 -8236.097 0.09953 0.53182 0.36865 0.00530 0.14181 0.36140
9 -8309.149 0.23124 0.51894 0.24982 0.03728 0.16493 0.38910
10 -8106.097 0.23134 0.65072 0.11794 0.02341 0.18063 0.46964
11 -8144.685 0.11957 0.41625 0.46418 0.02028 0.10403 0.28692
12 -7982.612 0.15765 0.66265 0.17970 0.00830 0.16016 0.42344
13 -8224.278 0.10530 0.42246 0.47225 0.00431 0.11103 0.30266
14 -8119.013 0.10208 0.50283 0.39510 0.00094 0.13362 0.36160
15 -8038.469 0.19732 0.51605 0.28663 0.02621 0.14400 0.33390
16 -8196.414 0.19318 0.49871 0.30812 0.03617 0.13538 0.41385
17 -8131.247 0.16537 0.54037 0.29426 0.02119 0.13229 0.29508
18 -7935.482 0.09732 0.70229 0.20039 0.01661 0.12654 0.39373
19 -8170.755 0.25720 0.74280 0.00000 0.04153 0.22674 10.65856
20 -7950.778 0.15507 0.62253 0.22240 0.02150 0.14483 0.42230
21 -8261.903 0.11450 0.55067 0.33484 0.03030 0.13194 0.30345
22 -8344.431 0.06667 0.40088 0.53245 0.00225 0.09724 0.31797
23 -8084.946 0.39670 0.57295 0.03035 0.04660 0.19153 0.96021
24 -8152.673 0.14217 0.55554 0.30229 0.03327 0.13716 0.35289
25 -7548.481 0.25476 0.66693 0.07831 0.03366 0.17369 0.58086
26 -7870.866 0.10055 0.47649 0.42296 0.00960 0.10138 0.29623
27 -8291.745 0.25358 0.67800 0.06842 0.04727 0.21027 0.56286
28 -8313.805 0.20262 0.58479 0.21259 0.03165 0.18306 0.40550
29 -8029.234 0.14399 0.52720 0.32881 0.03168 0.10450 0.34181
30 -8045.134 0.19659 0.46383 0.33958 0.03145 0.14613 0.34593
31 -7897.022 0.04429 0.51833 0.43738 0.00000 0.07473 0.26341
32 -8152.250 0.19422 0.59265 0.21313 0.02253 0.17699 0.44698
33 -8128.014 0.29737 0.57664 0.12599 0.04569 0.19582 0.42952
34 -8071.810 0.21321 0.78679 0.00000 0.03193 0.19087 73.75814
35 -8221.246 0.67026 0.32974 0.00000 0.09644 0.36938 14.36175
36 -8118.463 0.14755 0.60722 0.24524 0.01318 0.16795 0.41502
37 -8020.083 0.39736 0.51335 0.08929 0.06394 0.21259 0.51984
38 -8497.533 0.18841 0.73433 0.07726 0.03309 0.21275 0.52722
39 -8104.680 0.07383 0.59614 0.33003 0.00000 0.11754 0.35219
40 -8172.001 0.14986 0.42129 0.42885 0.01741 0.14383 0.39017
41 -8113.309 0.09294 0.76894 0.13812 0.00809 0.13326 0.41165
42 -8019.948 0.04906 0.57681 0.37413 0.00000 0.10469 0.31988
43 -8282.249 0.26034 0.49810 0.24156 0.04447 0.19956 0.42474
44 -8219.159 0.10129 0.65956 0.23915 0.01162 0.14329 0.38477
45 -8069.182 0.26012 0.60244 0.13744 0.04168 0.18462 0.47468
46 -8055.139 0.20755 0.57502 0.21743 0.03045 0.15098 0.36650
47 -8162.781 0.08460 0.58432 0.33108 0.00191 0.12403 0.34370
48 -8227.134 0.19085 0.63043 0.17872 0.03032 0.16446 0.44638
49 -8231.678 0.17234 0.49884 0.32882 0.02814 0.15038 0.35862
50 -8258.421 0.05736 0.58221 0.36044 0.00000 0.11008 0.33972
