trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -8214.816 0.13201 0.60352 0.26448 0.00000 0.01254 0.17317 0.42976 45.55406
2 -8216.012 0.07379 0.35063 0.48903 0.08655 0.00000 0.08490 0.22554 0.53216
3 -8144.036 0.13489 0.40320 0.45469 0.00722 0.01898 0.11031 0.28093 0.76591
4 -8351.498 0.11968 0.51452 0.36580 0.00000 0.01650 0.11744 0.35420 37.83176
5 -8140.921 0.07752 0.09755 0.54038 0.28454 0.00371 0.05058 0.15077 0.36905
6 -8170.712 0.46521 0.53479 0.00000 0.00000 0.06375 0.30218 3.09554 34.95199
7 -8165.152 0.05204 0.25841 0.57672 0.11282 0.00000 0.05136 0.21331 0.45600
8 -8234.722 0.07961 0.40923 0.48396 0.02720 0.00000 0.11567 0.29633 0.81725
9 -8309.149 0.23124 0.08540 0.43354 0.24982 0.03728 0.16493 0.16493 0.38910
10 -8106.097 0.23134 0.15226 0.49846 0.11794 0.02341 0.18063 0.18063 0.46964
11 -8144.682 0.01640 0.12980 0.39822 0.45558 0.00003 0.03041 0.10922 0.28858
12 -7982.339 0.09328 0.09920 0.64671 0.16081 0.00000 0.03836 0.16949 0.43797
13 -8224.278 0.10530 0.17453 0.24793 0.47225 0.00431 0.11103 0.11103 0.30266
14 -8118.703 0.09393 0.26292 0.36364 0.27950 0.00000 0.09999 0.20051 0.40017
15 -8038.469 0.07311 0.12421 0.51605 0.28663 0.02621 0.02621 0.14400 0.33390
16 -8196.414 0.19318 0.22510 0.27360 0.30812 0.03617 0.13538 0.13538 0.41385
17 -8131.247 0.16537 0.40660 0.13377 0.29426 0.02119 0.13229 0.13229 0.29508
18 -7935.440 0.06619 0.12506 0.62085 0.18791 0.00990 0.06986 0.13607 0.40286
19 -8168.749 0.19705 0.26729 0.45311 0.08254 0.03098 0.15549 0.22473 0.39524
20 -7950.218 0.10889 0.49171 0.30440 0.09500 0.01215 0.11479 0.25853 0.54779
21 -8264.835 0.00000 0.47446 0.52554 0.00000 0.00000 0.08573 0.25868 76.93420
22 -8344.431 0.06667 0.40088 0.53245 0.00000 0.00225 0.09724 0.31797 2.05426
23 -8080.741 0.07548 0.45209 0.44745 0.02498 0.00257 0.07529 0.22030 1.15535
24 -8152.673 0.14217 0.11397 0.44157 0.30229 0.03327 0.13716 0.13716 0.35289
25 -7545.893 0.09443 0.41671 0.45158 0.03728 0.00696 0.08950 0.23171 0.80419
26 -7870.866 0.10055 0.47649 0.42296 0.00000 0.00960 0.10138 0.29623 0.88087
27 -8291.745 0.25358 0.11233 0.56567 0.06842 0.04727 0.21027 0.21027 0.56286
28 -8312.968 0.04358 0.22577 0.57651 0.15413 0.00000 0.05760 0.20648 0.44135
29 -8029.234 0.14399 0.52719 0.32066 0.00815 0.03168 0.10450 0.34181 0.34181
30 -8045.134 0.19659 0.03239 0.43144 0.33958 0.03145 0.14613 0.14613 0.34593
31 -7896.087 0.04141 0.49592 0.45408 0.00860 0.00000 0.07117 0.24805 1.00320
32 -8152.250 0.19422 0.59265 0.21313 0.00000 0.02253 0.17699 0.44698 36.84418
33 -8128.014 0.29737 0.21259 0.36405 0.12599 0.04569 0.19582 0.19582 0.42952
34 -8064.109 0.05722 0.11103 0.72073 0.11102 0.00000 0.04039 0.15953 0.38547
35 -8205.533 0.12446 0.24761 0.39205 0.23588 0.01288 0.13423 0.13423 0.43655
36 -8118.463 0.14755 0.60722 0.24524 0.00000 0.01318 0.16795 0.41502 11.32631
37 -8018.664 0.03583 0.43077 0.45538 0.07803 0.00000 0.08041 0.23068 0.53314
38 -8497.421 0.02076 0.17903 0.72871 0.07150 0.00000 0.04146 0.21601 0.53950
39 -8104.491 0.07162 0.49671 0.20923 0.22245 0.00000 0.10764 0.21902 0.39451
40 -8171.439 0.12443 0.34938 0.46488 0.06131 0.01292 0.11789 0.32524 0.64125
41 -8113.309 0.09294 0.27294 0.49600 0.13812 0.00809 0.13326 0.13326 0.41165
42 -8019.907 0.04802 0.55766 0.36133 0.03300 0.00000 0.10222 0.29906 0.46570
43 -8282.249 0.26034 0.49810 0.24156 0.00000 0.04447 0.19956 0.42474 43.09512
44 -8218.449 0.05537 0.17736 0.58308 0.18419 0.00000 0.06894 0.17002 0.41872
45 -8068.760 0.13463 0.28227 0.48376 0.09934 0.02441 0.09486 0.21893 0.52277
46 -8055.139 0.20755 0.00000 0.57502 0.21743 0.03045 0.03045 0.15098 0.36650
47 -8159.731 0.07762 0.53998 0.37502 0.00738 0.00000 0.11625 0.31017 2.19449
48 -8227.134 0.19085 0.04768 0.58275 0.17872 0.03032 0.16446 0.16446 0.44638
49 -8230.013 0.10177 0.36317 0.49710 0.03796 0.01523 0.10219 0.27096 0.73868
50 -8256.534 0.05631 0.56112 0.37681 0.00576 0.00000 0.10771 0.32356 1.81596
