trial LL w 
1 -6539.837 0.05350
2 -6564.027 0.04838
3 -6590.482 0.05316
4 -6769.010 0.06492
5 -6749.286 0.06026
6 -6653.947 0.06298
7 -6559.270 0.05647
8 -6538.406 0.05410
9 -7077.119 0.07837
10 -6335.902 0.05065
11 -6584.268 0.04753
12 -6924.116 0.07339
13 -7121.635 0.07524
14 -7230.366 0.08888
15 -6355.269 0.04551
16 -7031.477 0.07767
17 -7067.101 0.07321
18 -6582.719 0.06711
19 -6859.929 0.07626
20 -6936.646 0.08109
21 -6724.347 0.06201
22 -6833.360 0.07968
23 -7424.831 0.09979
24 -6887.893 0.06059
25 -6992.975 0.08177
26 -7231.920 0.09899
27 -7087.999 0.07525
28 -6814.025 0.05731
29 -6152.042 0.04032
30 -6633.779 0.05269
31 -6809.361 0.06716
32 -6945.221 0.07285
33 -6726.750 0.06503
34 -7002.077 0.08476
35 -6956.829 0.07165
36 -7056.992 0.06771
37 -6862.252 0.06953
38 -6958.189 0.07176
39 -6914.112 0.06048
40 -6535.557 0.05300
41 -6869.416 0.06284
42 -6833.851 0.06466
43 -6908.718 0.06798
44 -6463.560 0.04258
45 -6611.628 0.05477
46 -7353.698 0.08987
47 -6572.530 0.05965
48 -6671.526 0.06210
49 -6626.709 0.07018
50 -6660.474 0.05818
