trial LL p0 p1 w0 w1 
1 -6156.285 0.50531 0.49469 0.00186 0.12410
2 -6200.331 0.44468 0.55532 0.00193 0.10950
3 -6237.773 0.55286 0.44714 0.00735 0.13056
4 -6385.534 0.49419 0.50581 0.00723 0.13442
5 -6347.363 0.52710 0.47290 0.00848 0.12090
6 -6200.229 0.56570 0.43430 0.00811 0.14356
7 -6231.720 0.43736 0.56264 0.00268 0.10505
8 -6167.577 0.62962 0.37038 0.01126 0.13816
9 -6734.665 0.37607 0.62393 0.00648 0.14021
10 -5990.206 0.50694 0.49306 0.00288 0.10041
11 -6213.189 0.47065 0.52935 0.00343 0.10000
12 -6501.251 0.43081 0.56919 0.00424 0.12743
13 -6709.958 0.44231 0.55769 0.00497 0.15317
14 -6867.309 0.40671 0.59329 0.00945 0.17365
15 -6016.398 0.52571 0.47429 0.00301 0.11682
16 -6633.680 0.42801 0.57199 0.00416 0.14013
17 -6647.998 0.47500 0.52500 0.00758 0.15832
18 -6192.589 0.58032 0.41968 0.00989 0.15420
19 -6486.744 0.47421 0.52579 0.00608 0.14514
20 -6502.976 0.48793 0.51207 0.00830 0.15871
21 -6398.333 0.50537 0.49463 0.00722 0.13829
22 -6429.883 0.39920 0.60080 0.00206 0.13892
23 -7000.262 0.41929 0.58071 0.01051 0.16958
24 -6513.675 0.46537 0.53463 0.00698 0.12572
25 -6570.732 0.50014 0.49986 0.00839 0.15304
26 -6845.973 0.42779 0.57221 0.01153 0.18076
27 -6700.447 0.48513 0.51487 0.00763 0.16837
28 -6374.765 0.48435 0.51565 0.00219 0.11959
29 -5824.471 0.52867 0.47133 0.00223 0.10400
30 -6289.931 0.51131 0.48869 0.00434 0.12848
31 -6451.479 0.46708 0.53292 0.00978 0.11746
32 -6557.344 0.48394 0.51606 0.00592 0.15387
33 -6380.662 0.48633 0.51367 0.00638 0.14096
34 -6632.399 0.41338 0.58662 0.00651 0.14771
35 -6518.674 0.46523 0.53477 0.00646 0.13044
36 -6686.788 0.40540 0.59460 0.00526 0.14129
37 -6487.166 0.42458 0.57542 0.00324 0.12853
38 -6540.820 0.44628 0.55372 0.00318 0.14836
39 -6554.825 0.50236 0.49764 0.00635 0.14102
40 -6164.127 0.53986 0.46014 0.00623 0.13129
41 -6447.531 0.47633 0.52367 0.00500 0.13212
42 -6468.466 0.44379 0.55621 0.00542 0.13141
43 -6522.477 0.46794 0.53206 0.00899 0.13870
44 -6104.421 0.52818 0.47182 0.00341 0.10389
45 -6285.531 0.41067 0.58933 0.00186 0.10725
46 -6928.179 0.42904 0.57096 0.01255 0.16926
47 -6227.019 0.55427 0.44573 0.00733 0.13048
48 -6298.679 0.46705 0.53295 0.00340 0.12865
49 -6281.637 0.43516 0.56484 0.00457 0.13308
50 -6282.880 0.52517 0.47483 0.00578 0.13084
