trial LL p0 p1 p2 w0 w1 w2 
1 -6142.382 0.47055 0.47465 0.05480 0.00046 0.09634 0.37057
2 -6196.013 0.39504 0.42015 0.18481 0.00000 0.07419 0.17393
3 -6226.460 0.49922 0.45143 0.04935 0.00458 0.10172 0.36019
4 -6382.792 0.32065 0.26441 0.41494 0.00000 0.03735 0.15062
5 -6335.224 0.39597 0.39341 0.21062 0.00233 0.06135 0.18576
6 -6196.325 0.52912 0.39402 0.07687 0.00618 0.11283 0.27482
7 -6225.476 0.37717 0.46972 0.15311 0.00026 0.07144 0.18347
8 -6165.858 0.24970 0.42392 0.32638 0.00000 0.02377 0.14948
9 -6730.804 0.33531 0.54975 0.11494 0.00363 0.11195 0.25639
10 -5985.651 0.41262 0.28987 0.29751 0.00000 0.04542 0.13163
11 -6206.094 0.40823 0.46078 0.13099 0.00117 0.06855 0.18968
12 -6493.767 0.42469 0.57152 0.00379 0.00388 0.12368 1.34226
13 -6703.691 0.40366 0.45153 0.14481 0.00263 0.11340 0.26691
14 -6861.149 0.31609 0.37307 0.31084 0.00258 0.09480 0.23784
15 -6015.138 0.48052 0.25355 0.26593 0.00145 0.06943 0.14785
16 -6633.049 0.31332 0.15614 0.53054 0.00000 0.02827 0.14716
17 -6639.890 0.38058 0.36007 0.25935 0.00222 0.08288 0.22651
18 -6183.136 0.54462 0.42304 0.03234 0.00770 0.12799 0.49137
19 -6481.340 0.43269 0.46352 0.10379 0.00362 0.11295 0.26911
20 -6495.440 0.46078 0.47748 0.06173 0.00668 0.13082 0.36610
21 -6395.086 0.47703 0.46458 0.05839 0.00582 0.11575 0.29652
22 -6422.103 0.35378 0.39606 0.25016 0.00000 0.08574 0.21263
23 -6995.200 0.36763 0.41847 0.21390 0.00657 0.11710 0.25400
24 -6510.668 0.29956 0.29465 0.40579 0.00000 0.03974 0.14781
25 -6567.457 0.32493 0.24638 0.42869 0.00111 0.03621 0.16866
26 -6837.407 0.36923 0.50436 0.12641 0.00640 0.13197 0.34305
27 -6694.598 0.45383 0.44898 0.09719 0.00566 0.13325 0.32474
28 -6373.342 0.40288 0.13161 0.46551 0.00000 0.02813 0.12816
29 -5815.116 0.45597 0.37209 0.17194 0.00000 0.05970 0.17380
30 -6284.084 0.47178 0.41460 0.11362 0.00260 0.09425 0.24029
31 -6447.985 0.33560 0.36197 0.30243 0.00333 0.05810 0.15386
32 -6550.749 0.39247 0.31860 0.28894 0.00112 0.07558 0.20748
33 -6378.850 0.32151 0.23972 0.43877 0.00000 0.03436 0.15530
34 -6626.657 0.37052 0.51586 0.11362 0.00363 0.11518 0.27997
35 -6513.361 0.42447 0.46653 0.10900 0.00427 0.10012 0.23874
36 -6680.548 0.34071 0.41806 0.24123 0.00152 0.08880 0.21414
37 -6475.318 0.35570 0.42328 0.22102 0.00013 0.07463 0.21551
38 -6538.596 0.42407 0.32375 0.25218 0.00211 0.10521 0.19905
39 -6550.288 0.40220 0.27204 0.32576 0.00185 0.06076 0.17849
40 -6158.075 0.47557 0.36752 0.15691 0.00337 0.08434 0.21413
41 -6442.190 0.44794 0.47173 0.08034 0.00366 0.10677 0.27600
42 -6462.120 0.42005 0.53771 0.04223 0.00420 0.11300 0.36878
43 -6512.664 0.38499 0.45151 0.16350 0.00421 0.08838 0.24162
44 -6102.044 0.45884 0.22042 0.32073 0.00137 0.04781 0.12696
45 -6284.092 0.35347 0.16756 0.47896 0.00000 0.04264 0.12056
46 -6918.129 0.34381 0.45886 0.19733 0.00588 0.10617 0.27919
47 -6223.017 0.53286 0.44395 0.02319 0.00623 0.11664 0.38673
48 -6297.348 0.42252 0.26534 0.31213 0.00143 0.07797 0.15914
49 -6271.820 0.34615 0.41948 0.23438 0.00000 0.07417 0.21210
50 -6281.876 0.46647 0.16149 0.37204 0.00352 0.05797 0.14708
