trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -6142.383 0.20908 0.26140 0.47471 0.05481 0.00006 0.00077 0.09631 0.37047
2 -6196.013 0.39504 0.14388 0.27627 0.18481 0.00000 0.07419 0.07419 0.17393
3 -6225.063 0.40363 0.27222 0.29494 0.02922 0.00138 0.04773 0.13584 0.44814
4 -6382.526 0.31430 0.24760 0.42763 0.01047 0.00000 0.03327 0.14191 0.36033
5 -6329.964 0.34965 0.34396 0.29693 0.00946 0.00096 0.04457 0.14710 0.76443
6 -6196.325 0.52912 0.39402 0.07687 0.00000 0.00618 0.11283 0.27482 11.88404
7 -6225.481 0.37190 0.40866 0.06833 0.15112 0.00004 0.06778 0.09227 0.18355
8 -6165.745 0.24046 0.42299 0.32496 0.01159 0.00000 0.02239 0.14249 0.29029
9 -6730.804 0.33530 0.54975 0.11495 0.00000 0.00363 0.11194 0.25639 47.10197
10 -5985.651 0.41262 0.28987 0.05013 0.24737 0.00000 0.04542 0.13162 0.13163
11 -6206.094 0.40823 0.13684 0.32394 0.13099 0.00117 0.06855 0.06855 0.18968
12 -6490.098 0.37293 0.41532 0.20806 0.00369 0.00138 0.08383 0.18650 1.36624
13 -6701.866 0.38807 0.32982 0.27795 0.00416 0.00192 0.09163 0.20477 1.21564
14 -6860.983 0.26416 0.19516 0.36997 0.17071 0.00000 0.04848 0.14545 0.27565
15 -6015.138 0.48054 0.25359 0.19151 0.07437 0.00145 0.06945 0.14785 0.14785
16 -6633.049 0.31332 0.15614 0.00416 0.52638 0.00000 0.02827 0.14716 0.14716
17 -6639.542 0.36416 0.31061 0.30879 0.01644 0.00153 0.07020 0.19444 0.46009
18 -6180.920 0.31708 0.30664 0.35248 0.02381 0.00000 0.03007 0.14820 0.56533
19 -6477.652 0.34548 0.25591 0.39197 0.00664 0.00000 0.05093 0.16477 1.06203
20 -6495.440 0.46078 0.11829 0.35920 0.06173 0.00668 0.13082 0.13082 0.36610
21 -6395.086 0.47703 0.46458 0.05839 0.00000 0.00582 0.11575 0.29652 52.85598
22 -6422.103 0.35378 0.39606 0.25016 0.00000 0.00000 0.08574 0.21263 14.58407
23 -6995.200 0.36763 0.41847 0.21390 0.00000 0.00657 0.11710 0.25400 16.10899
24 -6510.668 0.04570 0.25386 0.29465 0.40579 0.00000 0.00000 0.03974 0.14781
25 -6566.838 0.27674 0.25887 0.42205 0.04234 0.00000 0.02594 0.14877 0.30006
26 -6836.949 0.21578 0.19895 0.48685 0.09842 0.00000 0.02520 0.14605 0.37084
27 -6694.538 0.43549 0.06564 0.42018 0.07868 0.00491 0.06209 0.14485 0.34354
28 -6373.342 0.09780 0.30509 0.13161 0.46551 0.00000 0.00000 0.02813 0.12816
29 -5815.116 0.09956 0.35642 0.37209 0.17194 0.00000 0.00000 0.05970 0.17380
30 -6284.036 0.30093 0.18697 0.40695 0.10515 0.00000 0.00991 0.09828 0.24521
31 -6447.823 0.23143 0.27245 0.35997 0.13615 0.00000 0.02713 0.10036 0.18597
32 -6550.676 0.35499 0.14006 0.26172 0.24323 0.00000 0.03769 0.10095 0.21702
33 -6377.264 0.29594 0.21193 0.46535 0.02678 0.00000 0.02275 0.13495 0.36304
34 -6626.289 0.28813 0.17945 0.47081 0.06161 0.00000 0.04064 0.13834 0.33145
35 -6513.274 0.24447 0.21183 0.45528 0.08843 0.00000 0.01498 0.10800 0.25161
36 -6680.549 0.10339 0.23793 0.41793 0.24074 0.00001 0.00226 0.08895 0.21425
37 -6475.318 0.35570 0.13597 0.28731 0.22102 0.00013 0.07463 0.07463 0.21551
38 -6538.552 0.33296 0.11295 0.35910 0.19499 0.00003 0.01647 0.11855 0.20894
39 -6550.288 0.00001 0.40219 0.27204 0.32576 0.00181 0.00185 0.06076 0.17849
40 -6158.075 0.14518 0.33038 0.36752 0.15692 0.00337 0.00337 0.08434 0.21413
41 -6442.190 0.44794 0.38843 0.08329 0.08034 0.00366 0.10677 0.10677 0.27600
42 -6462.120 0.42005 0.53771 0.03066 0.01157 0.00420 0.11300 0.36878 0.36878
43 -6512.663 0.37681 0.02776 0.43559 0.15985 0.00395 0.04225 0.09070 0.24314
44 -6102.044 0.45884 0.13045 0.08997 0.32074 0.00137 0.04780 0.04781 0.12696
45 -6284.092 0.35347 0.05121 0.11635 0.47896 0.00000 0.04264 0.04264 0.12056
46 -6916.610 0.33141 0.38740 0.26967 0.01152 0.00523 0.09329 0.22634 0.81001
47 -6222.215 0.31564 0.29382 0.38092 0.00962 0.00000 0.02606 0.13443 0.52414
48 -6297.218 0.37533 0.15627 0.44940 0.01900 0.00000 0.03808 0.13325 0.27965
49 -6271.820 0.34615 0.41947 0.23438 0.00000 0.00000 0.07417 0.21210 31.57145
50 -6281.876 0.16215 0.30432 0.16149 0.37205 0.00347 0.00355 0.05797 0.14708
