trial LL w 
1 -5859.613 0.57632
2 -5950.740 0.52300
3 -6075.947 0.66784
4 -6383.949 0.62447
5 -6319.713 0.59840
6 -6253.826 0.59008
7 -6133.770 0.61900
8 -6146.466 0.64431
9 -6114.293 0.70214
10 -6031.270 0.55753
11 -6103.686 0.57066
12 -6271.021 0.54967
13 -6349.269 0.61317
14 -6191.339 0.65118
15 -6163.778 0.59807
16 -6155.826 0.60243
17 -6162.338 0.55574
18 -6164.143 0.58163
19 -6253.409 0.68739
20 -6105.160 0.58055
21 -6252.590 0.56952
22 -6310.267 0.60019
23 -6168.347 0.61002
24 -6083.119 0.49251
25 -6321.634 0.64369
26 -6212.010 0.53697
27 -6209.971 0.68013
28 -6340.699 0.62452
29 -6297.131 0.64228
30 -6202.040 0.65854
31 -5987.137 0.62313
32 -6165.415 0.56384
33 -6049.920 0.58163
34 -6220.671 0.60685
35 -6254.956 0.65242
36 -6105.603 0.57097
37 -6047.337 0.60217
38 -6194.157 0.61928
39 -6018.582 0.60065
40 -6041.352 0.69083
41 -6112.780 0.70428
42 -6362.804 0.62512
43 -6114.404 0.58130
44 -6054.717 0.58112
45 -6249.299 0.61859
46 -6268.119 0.65219
47 -6160.710 0.58692
48 -6327.623 0.55083
49 -6092.477 0.61403
50 -6403.818 0.58263
