trial LL p0 p1 w0 w1 
1 -5834.214 0.63151 0.36849 0.36606 1.07240
2 -5927.827 0.75522 0.24478 0.37462 1.12828
3 -6056.213 0.46075 0.53925 0.34259 1.02455
4 -6364.327 0.33648 0.66352 0.26934 0.86864
5 -6282.469 0.56392 0.43608 0.31749 1.08177
6 -6231.276 0.47154 0.52846 0.30719 0.90060
7 -6100.856 0.43623 0.56377 0.25845 0.97401
8 -6123.601 0.60974 0.39026 0.39523 1.11460
9 -6090.582 0.47006 0.52994 0.38605 1.12637
10 -6001.762 0.52839 0.47161 0.30043 0.96019
11 -6055.341 0.63436 0.36564 0.33018 1.21080
12 -6247.042 0.58771 0.41229 0.33643 0.95150
13 -6326.607 0.63850 0.36150 0.42525 1.12812
14 -6171.875 0.50848 0.49152 0.39157 1.06177
15 -6148.976 0.68095 0.31905 0.42792 1.07471
16 -6111.480 0.51178 0.48822 0.27719 1.06400
17 -6126.106 0.74770 0.25230 0.38182 1.32686
18 -6143.701 0.37088 0.62912 0.25548 0.83198
19 -6227.024 0.66460 0.33540 0.47514 1.34297
20 -6087.647 0.54753 0.45247 0.35029 0.93805
21 -6233.716 0.44875 0.55125 0.29499 0.86031
22 -6291.921 0.51960 0.48040 0.36921 0.95759
23 -6143.327 0.48760 0.51240 0.30709 0.97663
24 -6065.456 0.64461 0.35539 0.32978 0.89746
25 -6296.126 0.80348 0.19652 0.49986 1.55408
26 -6177.230 0.43486 0.56514 0.22937 0.86811
27 -6176.974 0.44433 0.55567 0.33892 1.12210
28 -6316.076 0.70907 0.29093 0.43885 1.27270
29 -6282.413 0.67818 0.32182 0.45470 1.13870
30 -6166.056 0.69045 0.30955 0.46148 1.41552
31 -5965.586 0.65010 0.34990 0.42626 1.15150
32 -6131.852 0.64360 0.35640 0.34682 1.12064
33 -6022.164 0.57349 0.42651 0.33493 1.04713
34 -6189.346 0.80234 0.19766 0.47005 1.54486
35 -6230.114 0.54714 0.45286 0.38513 1.11602
36 -6075.830 0.63474 0.36526 0.35488 1.09720
37 -6016.280 0.76407 0.23593 0.44336 1.44939
38 -6159.117 0.57248 0.42752 0.33904 1.11101
39 -5979.070 0.74313 0.25687 0.40666 1.44935
40 -6012.887 0.61249 0.38751 0.42494 1.28473
41 -6092.929 0.66738 0.33262 0.49453 1.32059
42 -6339.965 0.70101 0.29899 0.43602 1.20957
43 -6095.814 0.41251 0.58749 0.28256 0.84790
44 -6039.466 0.51580 0.48420 0.35224 0.90714
45 -6219.879 0.58117 0.41883 0.36788 1.10652
46 -6237.456 0.73794 0.26206 0.48636 1.45055
47 -6120.410 0.36878 0.63122 0.21242 0.91271
48 -6291.627 0.55518 0.44482 0.29829 0.99331
49 -6071.779 0.48563 0.51437 0.32373 0.96613
50 -6381.251 0.45121 0.54879 0.29399 0.86223
