trial LL p0 p1 p2 w0 w1 w2 
1 -5827.166 0.18564 0.77543 0.03893 0.12155 0.66653 2.65411
2 -5924.465 0.37415 0.58156 0.04429 0.24288 0.65638 2.24425
3 -6056.093 0.41898 0.57103 0.00999 0.32303 0.96911 2.49684
4 -6361.578 0.17182 0.79148 0.03670 0.15486 0.72194 2.24787
5 -6282.469 0.30050 0.26342 0.43608 0.31749 0.31749 1.08177
6 -6228.289 0.28294 0.69044 0.02662 0.21749 0.73356 2.38885
7 -6100.297 0.37033 0.57943 0.05025 0.22817 0.85122 1.82011
8 -6122.998 0.36858 0.50946 0.12197 0.30506 0.74809 1.52575
9 -6088.554 0.18765 0.71545 0.09690 0.20928 0.78366 1.97529
10 -6000.903 0.39166 0.54638 0.06196 0.24566 0.76397 1.65340
11 -6052.594 0.21833 0.59335 0.18833 0.14936 0.55775 1.56667
12 -6242.559 0.18694 0.76516 0.04789 0.13570 0.62360 2.06083
13 -6324.787 0.30885 0.63796 0.05319 0.28536 0.76532 2.00791
14 -6171.875 0.50848 0.37176 0.11976 0.39157 1.06177 1.06177
15 -6148.667 0.01710 0.71509 0.26781 0.00000 0.46310 1.13317
16 -6109.629 0.28920 0.52252 0.18828 0.17422 0.65395 1.48001
17 -6123.520 0.66216 0.32070 0.01713 0.35148 1.05741 3.74528
18 -6142.776 0.21393 0.64713 0.13894 0.17709 0.63367 1.25736
19 -6224.518 0.24895 0.68475 0.06630 0.26375 0.80984 2.33783
20 -6084.686 0.05301 0.71331 0.23369 0.00000 0.48887 1.16158
21 -6233.716 0.44875 0.13922 0.41203 0.29499 0.86031 0.86031
22 -6291.921 0.51954 0.00194 0.47852 0.36920 0.88089 0.95785
23 -6143.327 0.48760 0.03345 0.47895 0.30709 0.97663 0.97663
24 -6065.212 0.57547 0.40919 0.01534 0.31016 0.79638 1.92276
25 -6296.126 0.80348 0.01174 0.18479 0.49986 1.55406 1.55408
26 -6174.808 0.37257 0.61081 0.01662 0.20209 0.78302 2.73887
27 -6176.144 0.03682 0.50743 0.45575 0.00082 0.44152 1.21630
28 -6316.073 0.69347 0.08345 0.22309 0.43443 1.00207 1.33131
29 -6282.384 0.00493 0.68997 0.30510 0.00000 0.46634 1.15745
30 -6161.092 0.10618 0.73491 0.15891 0.08507 0.63643 1.82271
31 -5963.350 0.46231 0.52317 0.01452 0.35185 0.91209 3.43930
32 -6130.788 0.03804 0.68836 0.27360 0.00000 0.41355 1.24594
33 -6020.258 0.30668 0.61244 0.08088 0.22409 0.70331 1.83868
34 -6187.278 0.11887 0.74589 0.13524 0.16353 0.57192 1.78939
35 -6228.057 0.17669 0.69033 0.13298 0.17799 0.68403 1.65578
36 -6072.954 0.05881 0.72008 0.22111 0.00000 0.46879 1.33189
37 -6014.698 0.04017 0.76208 0.19775 0.00000 0.49529 1.54509
38 -6158.310 0.51681 0.47182 0.01137 0.31585 1.00814 2.85108
39 -5977.457 0.20327 0.63758 0.15915 0.19119 0.56953 1.74429
40 -6011.849 0.49942 0.46745 0.03312 0.37732 1.05043 2.62715
41 -6091.907 0.02841 0.73435 0.23724 0.00000 0.57136 1.47369
42 -6337.601 0.14775 0.71935 0.13290 0.17184 0.60629 1.60306
43 -6094.454 0.29070 0.68565 0.02365 0.22465 0.73658 2.08465
44 -6039.455 0.26740 0.30566 0.42694 0.29592 0.46481 0.93704
45 -6218.853 0.06609 0.63216 0.30175 0.07802 0.47643 1.23940
46 -6234.437 0.35363 0.58075 0.06562 0.32340 0.82186 2.43752
47 -6119.486 0.25548 0.56679 0.17773 0.15607 0.68179 1.32665
48 -6291.399 0.51885 0.46678 0.01437 0.28400 0.92544 2.04755
49 -6070.134 0.05538 0.61262 0.33200 0.00000 0.46592 1.11030
50 -6374.811 0.09882 0.82211 0.07907 0.03930 0.57703 1.72918
