trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -5826.939 0.05599 0.26807 0.64122 0.03472 0.00000 0.30991 0.72440 2.74461
2 -5924.465 0.18341 0.19074 0.58156 0.04429 0.24288 0.24288 0.65638 2.24425
3 -6056.068 0.04672 0.41729 0.52837 0.00763 0.14320 0.37855 1.00226 2.57436
4 -6361.200 0.03711 0.27386 0.66214 0.02689 0.00000 0.33240 0.79273 2.43297
5 -6282.469 0.31738 0.24654 0.28350 0.15258 0.31749 0.31749 1.08177 1.08177
6 -6228.289 0.28294 0.25437 0.43607 0.02662 0.21749 0.73356 0.73356 2.38885
7 -6100.297 0.06726 0.30306 0.57943 0.05025 0.22817 0.22817 0.85122 1.82011
8 -6122.998 0.36858 0.35163 0.15782 0.12197 0.30506 0.74809 0.74809 1.52575
9 -6088.235 0.03028 0.30512 0.59405 0.07055 0.00000 0.37871 0.88571 2.12361
10 -6000.903 0.39166 0.35990 0.18648 0.06196 0.24566 0.76397 0.76397 1.65341
11 -6052.594 0.21833 0.23926 0.35409 0.18833 0.14936 0.55775 0.55775 1.56667
12 -6242.548 0.16123 0.24982 0.54532 0.04364 0.12196 0.47770 0.67847 2.11889
13 -6324.787 0.05663 0.25222 0.63796 0.05319 0.28536 0.28536 0.76532 2.00790
14 -6171.875 0.42111 0.08736 0.10730 0.38422 0.39157 0.39157 1.06177 1.06177
15 -6148.667 0.01710 0.43137 0.28372 0.26781 0.00000 0.46310 0.46310 1.13317
16 -6109.629 0.28920 0.23170 0.29082 0.18828 0.17422 0.65395 0.65395 1.48001
17 -6123.489 0.03545 0.64889 0.29929 0.01637 0.15364 0.37467 1.08760 3.79441
18 -6142.776 0.21393 0.64713 0.02742 0.11151 0.17709 0.63367 1.25736 1.25736
19 -6223.654 0.03853 0.55007 0.37456 0.03684 0.00000 0.50322 1.06390 2.77594
20 -6084.686 0.05301 0.17299 0.54032 0.23369 0.00000 0.48887 0.48887 1.16158
21 -6233.716 0.12000 0.32875 0.19312 0.35813 0.29499 0.29499 0.86031 0.86031
22 -6291.903 0.00443 0.53208 0.46348 0.00000 0.00000 0.38198 0.96866 1.75980
23 -6143.327 0.25668 0.23092 0.23064 0.28176 0.30709 0.30709 0.97663 0.97663
24 -6065.212 0.44031 0.13516 0.40919 0.01534 0.31016 0.31016 0.79638 1.92277
25 -6295.350 0.02980 0.44541 0.35713 0.16766 0.03061 0.53744 0.53744 1.65019
26 -6174.808 0.37257 0.17736 0.43344 0.01662 0.20209 0.78302 0.78302 2.73887
27 -6176.144 0.03682 0.50743 0.13111 0.32464 0.00082 0.44152 1.21630 1.21630
28 -6316.073 0.31685 0.37662 0.08345 0.22308 0.43443 0.43443 1.00207 1.33131
29 -6282.384 0.00493 0.38277 0.30720 0.30510 0.00000 0.46634 0.46634 1.15745
30 -6161.092 0.10618 0.21800 0.51691 0.15891 0.08507 0.63643 0.63643 1.82271
31 -5963.010 0.02447 0.53625 0.42587 0.01340 0.00000 0.42435 0.97443 3.51688
32 -6130.645 0.03067 0.51216 0.28476 0.17240 0.00000 0.35341 0.70904 1.41781
33 -6020.258 0.00041 0.30728 0.61152 0.08080 0.00000 0.22511 0.70386 1.83907
34 -6187.278 0.11887 0.42339 0.32250 0.13524 0.16353 0.57192 0.57192 1.78939
35 -6228.057 0.17669 0.27824 0.41209 0.13298 0.17799 0.68402 0.68403 1.65578
36 -6072.538 0.05566 0.67664 0.26300 0.00471 0.00000 0.44688 1.19168 3.88914
37 -6014.698 0.04017 0.67074 0.09134 0.19775 0.00000 0.49529 0.49529 1.54509
38 -6158.310 0.08528 0.43153 0.47182 0.01137 0.31585 0.31585 1.00814 2.85108
39 -5977.457 0.20327 0.54563 0.09195 0.15915 0.19119 0.56953 0.56953 1.74429
40 -6011.849 0.22686 0.27256 0.46745 0.03312 0.37732 0.37732 1.05043 2.62714
41 -6091.129 0.02412 0.63067 0.33759 0.00762 0.00000 0.52292 1.22597 4.47848
42 -6337.601 0.11878 0.02897 0.71935 0.13290 0.17184 0.17184 0.60629 1.60306
43 -6094.454 0.12008 0.17062 0.68565 0.02365 0.22465 0.22465 0.73658 2.08465
44 -6039.455 0.26740 0.30566 0.18441 0.24253 0.29592 0.46481 0.93704 0.93704
45 -6219.185 0.46374 0.49995 0.03631 0.00000 0.32060 0.91651 2.04352 5.40046
46 -6234.437 0.35363 0.27848 0.30226 0.06562 0.32340 0.82186 0.82186 2.43752
47 -6119.486 0.25548 0.26105 0.30575 0.17773 0.15607 0.68179 0.68179 1.32665
48 -6291.399 0.37877 0.14008 0.46678 0.01437 0.28400 0.28400 0.92544 2.04755
49 -6069.683 0.05037 0.48379 0.45096 0.01488 0.00000 0.41149 0.93483 2.48581
50 -6374.661 0.07751 0.67993 0.21289 0.02967 0.01501 0.50912 0.94627 2.32508
