trial LL w 
1 -8472.618 0.53013
2 -8620.295 0.58034
3 -8623.952 0.54306
4 -8552.549 0.55753
5 -8367.062 0.56886
6 -8574.430 0.51232
7 -8555.516 0.50999
8 -8625.111 0.51502
9 -8634.463 0.50522
10 -8304.121 0.49256
11 -8301.417 0.51693
12 -8588.758 0.57008
13 -8614.995 0.55264
14 -8536.076 0.55056
15 -8343.844 0.60800
16 -8476.258 0.56854
17 -8293.729 0.51704
18 -8554.419 0.52464
19 -8569.937 0.54364
20 -8499.489 0.53581
21 -8365.666 0.59324
22 -8664.924 0.53595
23 -8595.487 0.52917
24 -8371.254 0.50761
25 -8481.673 0.54448
26 -8465.628 0.50999
27 -8565.841 0.53022
28 -8482.639 0.59198
29 -8489.690 0.51230
30 -8310.683 0.56714
31 -8325.044 0.50685
32 -8319.901 0.56223
33 -8481.709 0.50362
34 -8549.043 0.52207
35 -8443.980 0.55952
36 -8389.032 0.50946
37 -8416.147 0.54624
38 -8292.403 0.54979
39 -8246.063 0.55945
40 -8296.365 0.54164
41 -8475.270 0.48898
42 -8612.322 0.53320
43 -8371.266 0.52636
44 -8477.768 0.49394
45 -8577.552 0.50698
46 -8574.027 0.48329
47 -8533.828 0.45670
48 -8595.621 0.49959
49 -8196.404 0.51072
50 -8613.504 0.54123
