trial LL p0 p1 w0 w1 
1 -8434.792 0.52043 0.47957 0.31518 0.84908
2 -8577.578 0.29722 0.70278 0.24446 0.79989
3 -8592.466 0.66608 0.33392 0.40247 1.00073
4 -8513.579 0.42592 0.57408 0.28463 0.80842
5 -8326.909 0.35180 0.64820 0.25876 0.80802
6 -8537.336 0.42563 0.57437 0.26837 0.75392
7 -8491.906 0.67176 0.32824 0.33434 1.06480
8 -8604.733 0.53789 0.46211 0.34437 0.77459
9 -8597.710 0.61114 0.38886 0.33287 0.87080
10 -8253.099 0.58971 0.41029 0.30164 0.91055
11 -8241.396 0.48084 0.51916 0.26071 0.85599
12 -8511.802 0.51722 0.48278 0.29923 1.01760
13 -8571.972 0.46054 0.53946 0.31285 0.86753
14 -8492.510 0.50167 0.49833 0.32911 0.90608
15 -8318.267 0.82430 0.17570 0.50987 1.34814
16 -8415.242 0.49277 0.50723 0.30217 0.95931
17 -8222.660 0.51102 0.48898 0.27164 0.93342
18 -8510.348 0.31994 0.68006 0.21901 0.71229
19 -8540.481 0.40689 0.59311 0.29642 0.76978
20 -8462.745 0.71562 0.28438 0.38784 1.05206
21 -8323.356 0.42846 0.57154 0.30485 0.90585
22 -8619.163 0.48872 0.51128 0.29637 0.82934
23 -8536.927 0.61673 0.38327 0.33908 1.03648
24 -8339.940 0.58811 0.41189 0.33877 0.86001
25 -8442.012 0.55095 0.44905 0.35062 0.92755
26 -8419.355 0.42164 0.57836 0.26225 0.79269
27 -8507.060 0.51037 0.48963 0.29833 0.92842
28 -8445.378 0.38482 0.61518 0.31341 0.87391
29 -8454.894 0.49267 0.50733 0.29580 0.79827
30 -8262.833 0.49954 0.50046 0.32489 0.94057
31 -8284.084 0.44351 0.55649 0.26596 0.76671
32 -8285.121 0.46814 0.53186 0.31634 0.86161
33 -8418.994 0.53818 0.46182 0.28565 0.90764
34 -8511.276 0.44509 0.55491 0.28381 0.79537
35 -8401.509 0.46022 0.53978 0.30460 0.88183
36 -8332.848 0.52875 0.47125 0.28758 0.86511
37 -8376.510 0.39042 0.60958 0.28663 0.80945
38 -8250.907 0.49671 0.50329 0.31061 0.88579
39 -8216.748 0.53915 0.46085 0.35865 0.89604
40 -8259.852 0.45063 0.54937 0.29179 0.81795
41 -8441.211 0.49971 0.50029 0.30281 0.77380
42 -8544.870 0.64867 0.35133 0.34326 1.09176
43 -8336.818 0.52866 0.47134 0.32317 0.85394
44 -8442.239 0.28348 0.71652 0.19689 0.65109
45 -8549.300 0.36515 0.63485 0.26046 0.67817
46 -8517.943 0.52548 0.47452 0.27103 0.82829
47 -8488.538 0.37530 0.62470 0.21390 0.66787
48 -8541.422 0.43102 0.56898 0.24640 0.77477
49 -8141.482 0.53427 0.46573 0.28369 0.88718
50 -8566.983 0.57270 0.42730 0.32995 0.93106
