trial LL p0 p1 p2 w0 w1 w2 
1 -8433.385 0.32302 0.54532 0.13167 0.25185 0.61561 1.20942
2 -8575.210 0.14844 0.58090 0.27066 0.14867 0.57603 1.05834
3 -8590.404 0.02800 0.70005 0.27194 0.05130 0.44581 1.07074
4 -8510.107 0.31368 0.64908 0.03724 0.23912 0.69350 1.86216
5 -8326.726 0.26286 0.25727 0.47987 0.22558 0.53433 0.87543
6 -8533.060 0.23103 0.67428 0.09469 0.18946 0.57418 1.37037
7 -8486.105 0.04396 0.68334 0.27270 0.02326 0.38533 1.15072
8 -8603.813 0.01558 0.61889 0.36553 0.04246 0.38757 0.83313
9 -8596.802 0.32826 0.48904 0.18270 0.26156 0.53530 1.08249
10 -8252.857 0.20926 0.43133 0.35942 0.22064 0.38052 0.95492
11 -8239.173 0.26824 0.46471 0.26705 0.18553 0.51755 1.07922
12 -8508.064 0.14279 0.50064 0.35657 0.13771 0.44476 1.15259
13 -8569.406 0.21603 0.60295 0.18102 0.21322 0.58549 1.22181
14 -8492.486 0.37109 0.16809 0.46082 0.30384 0.46002 0.92691
15 -8312.549 0.11907 0.79802 0.08291 0.19347 0.62408 1.76329
16 -8410.293 0.24400 0.59516 0.16084 0.19560 0.61842 1.43778
17 -8222.217 0.02304 0.50954 0.46742 0.05391 0.29469 0.95276
18 -8499.995 0.14275 0.76283 0.09442 0.11747 0.54456 1.47382
19 -8538.404 0.17806 0.65842 0.16352 0.19621 0.55873 1.11626
20 -8462.728 0.34525 0.38664 0.26810 0.34737 0.43971 1.07166
21 -8321.811 0.40027 0.59243 0.00730 0.29319 0.86991 2.90788
22 -8616.513 0.20038 0.59741 0.20221 0.18334 0.52798 1.10707
23 -8536.057 0.18944 0.50157 0.30899 0.21814 0.44189 1.12343
24 -8338.283 0.03521 0.62978 0.33502 0.05650 0.38850 0.91884
25 -8433.571 0.27624 0.67337 0.05039 0.24310 0.67001 2.13956
26 -8417.547 0.33630 0.61657 0.04713 0.23006 0.68849 1.59489
27 -8505.891 0.03330 0.52055 0.44616 0.05929 0.33976 0.96251
28 -8441.447 0.26719 0.67419 0.05862 0.26010 0.73554 1.88191
29 -8454.831 0.05139 0.47081 0.47780 0.16772 0.32605 0.81424
30 -8259.586 0.10854 0.58799 0.30348 0.12800 0.48188 1.12820
31 -8278.876 0.15005 0.68107 0.16888 0.13203 0.49864 1.15855
32 -8283.587 0.23846 0.57249 0.18905 0.22564 0.59298 1.15240
33 -8418.130 0.01233 0.55188 0.43579 0.00000 0.30591 0.93124
34 -8504.304 0.26908 0.66589 0.06503 0.21659 0.62023 1.74689
35 -8401.509 0.46022 0.53889 0.00089 0.30460 0.88183 0.88185
36 -8325.159 0.13092 0.68063 0.18846 0.10960 0.47523 1.22694
37 -8372.286 0.14558 0.66478 0.18964 0.15422 0.55544 1.19620
38 -8249.744 0.02739 0.53562 0.43699 0.05543 0.35926 0.93527
39 -8212.982 0.18279 0.71698 0.10023 0.21381 0.59733 1.50708
40 -8258.508 0.41489 0.57847 0.00664 0.27876 0.78185 2.60593
41 -8438.332 0.31235 0.63421 0.05344 0.24338 0.61440 1.56355
42 -8543.456 0.01878 0.65551 0.32571 0.01289 0.36593 1.12852
43 -8335.601 0.07405 0.57170 0.35425 0.13242 0.40931 0.93907
44 -8436.564 0.14495 0.72555 0.12950 0.11932 0.50754 1.15787
45 -8545.956 0.16837 0.72289 0.10875 0.16815 0.52757 1.13032
46 -8515.438 0.46863 0.50527 0.02610 0.25511 0.73950 2.08451
47 -8486.828 0.25008 0.57945 0.17047 0.17083 0.51183 0.97565
48 -8536.646 0.22840 0.62610 0.14550 0.16115 0.54983 1.24581
49 -8136.235 0.03723 0.57361 0.38915 0.00000 0.34262 0.95472
50 -8565.559 0.03382 0.59892 0.36726 0.06954 0.37591 0.98561
