trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -8432.358 0.01549 0.45039 0.45596 0.07817 0.00000 0.32001 0.72129 1.32862
2 -8574.413 0.12048 0.35220 0.51579 0.01153 0.13355 0.45767 0.85499 2.37529
3 -8590.404 0.02800 0.28079 0.41926 0.27194 0.05130 0.44581 0.44581 1.07074
4 -8510.107 0.00000 0.31368 0.64908 0.03724 0.00000 0.23912 0.69350 1.86216
5 -8326.726 0.26286 0.25727 0.24136 0.23851 0.22558 0.53432 0.87543 0.87543
6 -8533.060 0.23103 0.13416 0.54012 0.09469 0.18946 0.57418 0.57418 1.37037
7 -8485.931 0.02674 0.10050 0.62256 0.25020 0.00000 0.19967 0.42186 1.18540
8 -8603.617 0.00832 0.49392 0.46373 0.03403 0.00773 0.34898 0.71041 1.31911
9 -8596.785 0.09741 0.38798 0.35974 0.15487 0.19823 0.34285 0.61305 1.11430
10 -8252.857 0.20926 0.30983 0.12149 0.35941 0.22064 0.38052 0.38052 0.95492
11 -8239.173 0.26824 0.17857 0.28614 0.26705 0.18553 0.51755 0.51755 1.07922
12 -8508.064 0.14279 0.50064 0.19194 0.16463 0.13771 0.44476 1.15258 1.15259
13 -8569.406 0.21603 0.23533 0.36762 0.18102 0.21322 0.58549 0.58549 1.22181
14 -8492.486 0.07078 0.30029 0.16810 0.46082 0.30384 0.30384 0.46001 0.92691
15 -8312.549 0.11907 0.68008 0.11794 0.08291 0.19347 0.62408 0.62408 1.76329
16 -8410.293 0.24400 0.59516 0.03248 0.12836 0.19560 0.61842 1.43778 1.43778
17 -8222.213 0.48753 0.42927 0.06363 0.01957 0.26384 0.87852 0.87852 1.96647
18 -8499.995 0.14272 0.70886 0.05402 0.09440 0.11746 0.54364 0.55664 1.47390
19 -8538.404 0.17806 0.11089 0.54754 0.16352 0.19621 0.55873 0.55873 1.11626
20 -8462.728 0.34525 0.38664 0.17051 0.09759 0.34737 0.43971 1.07166 1.07166
21 -8321.811 0.40027 0.41523 0.17720 0.00730 0.29319 0.86990 0.86991 2.90788
22 -8616.513 0.20038 0.59741 0.20221 0.00000 0.18334 0.52797 1.10707 4.76725
23 -8536.057 0.18944 0.50157 0.04445 0.26454 0.21814 0.44189 1.12344 1.12344
24 -8338.283 0.03521 0.62978 0.19740 0.13762 0.05650 0.38850 0.91884 0.91884
25 -8433.571 0.27624 0.42495 0.24843 0.05039 0.24310 0.67001 0.67001 2.13956
26 -8417.547 0.33630 0.15491 0.46166 0.04713 0.23006 0.68849 0.68849 1.59489
27 -8505.891 0.03330 0.52055 0.06158 0.38457 0.05929 0.33976 0.96251 0.96251
28 -8441.447 0.10480 0.16239 0.67419 0.05862 0.26010 0.26010 0.73554 1.88191
29 -8454.831 0.05139 0.47081 0.18202 0.29578 0.16772 0.32605 0.81424 0.81424
30 -8259.586 0.10854 0.58799 0.13862 0.16486 0.12800 0.48188 1.12820 1.12820
31 -8278.798 0.05030 0.16476 0.63522 0.14972 0.07154 0.22207 0.52983 1.19283
32 -8283.587 0.23846 0.13934 0.43316 0.18905 0.22564 0.59298 0.59298 1.15240
33 -8418.088 0.01104 0.45083 0.14675 0.39138 0.00000 0.28332 0.48580 0.96223
34 -8504.304 0.06017 0.20891 0.66589 0.06503 0.21659 0.21659 0.62023 1.74689
35 -8401.509 0.28630 0.17392 0.34263 0.19715 0.30460 0.30460 0.88183 0.88183
36 -8323.913 0.03688 0.38132 0.49528 0.08653 0.01796 0.29264 0.66004 1.55103
37 -8372.286 0.14558 0.45527 0.20951 0.18964 0.15422 0.55543 0.55544 1.19620
38 -8249.728 0.00799 0.06083 0.50929 0.42189 0.00000 0.17001 0.38049 0.94534
39 -8212.982 0.18279 0.53490 0.18208 0.10023 0.21381 0.59733 0.59734 1.50708
40 -8258.281 0.05738 0.41638 0.52020 0.00604 0.13237 0.33623 0.81209 2.65252
41 -8438.332 0.31235 0.21757 0.41664 0.05344 0.24338 0.61440 0.61440 1.56355
42 -8543.231 0.01340 0.45411 0.26188 0.27062 0.00000 0.31678 0.53780 1.19995
43 -8335.601 0.07405 0.14113 0.43057 0.35425 0.13242 0.40931 0.40931 0.93907
44 -8436.564 0.14495 0.52215 0.20341 0.12950 0.11932 0.50754 0.50754 1.15787
45 -8545.956 0.14887 0.01949 0.72289 0.10875 0.16815 0.16815 0.52757 1.13032
46 -8515.438 0.23640 0.23224 0.50527 0.02610 0.25511 0.25511 0.73950 2.08451
47 -8486.828 0.25008 0.23132 0.34814 0.17047 0.17082 0.51183 0.51183 0.97565
48 -8536.646 0.22840 0.00094 0.62517 0.14550 0.16115 0.54982 0.54983 1.24581
49 -8136.235 0.03723 0.57361 0.30444 0.08471 0.00000 0.34262 0.95472 0.95472
50 -8563.232 0.02602 0.56895 0.40135 0.00367 0.05588 0.35977 0.93299 5.00867
