trial LL w 
1 -5451.193 0.21125
2 -5468.987 0.19278
3 -5884.017 0.19641
4 -5491.320 0.18437
5 -5591.732 0.21773
6 -5629.129 0.19849
7 -5555.487 0.17735
8 -5762.009 0.19459
9 -5654.614 0.17821
10 -5468.424 0.16128
11 -5754.504 0.17895
12 -5587.826 0.18806
13 -5549.728 0.18537
14 -5608.287 0.19193
15 -5796.339 0.20065
16 -5657.988 0.21259
17 -5691.464 0.20907
18 -5679.852 0.22720
19 -5442.678 0.21092
20 -5576.071 0.21081
21 -5562.305 0.19511
22 -5633.299 0.20230
23 -5660.912 0.20363
24 -5652.517 0.18797
25 -5520.304 0.20217
26 -5505.234 0.19556
27 -5536.633 0.19484
28 -5629.500 0.19943
29 -5638.043 0.20229
30 -5591.180 0.19180
31 -5696.645 0.20555
32 -5805.318 0.22432
33 -5692.580 0.17512
34 -5730.986 0.21173
35 -5479.622 0.21033
36 -5719.156 0.19797
37 -5906.210 0.21238
38 -5770.799 0.21748
39 -5534.039 0.18738
40 -5582.333 0.17622
41 -5579.069 0.20652
42 -5804.073 0.21326
43 -5699.790 0.19070
44 -5787.605 0.22024
45 -5582.232 0.19215
46 -5727.648 0.19453
47 -5713.390 0.19042
48 -5638.848 0.20995
49 -5463.753 0.17898
50 -5540.919 0.19814
