trial LL p0 p1 w0 w1 
1 -5373.928 0.69295 0.30705 0.08102 0.59549
2 -5394.865 0.62887 0.37113 0.05963 0.47491
3 -5769.399 0.69239 0.30761 0.06867 0.57037
4 -5418.022 0.68740 0.31260 0.06921 0.51573
5 -5512.639 0.69499 0.30501 0.08666 0.60841
6 -5552.002 0.74549 0.25451 0.09213 0.62455
7 -5485.110 0.68868 0.31132 0.06955 0.47670
8 -5702.641 0.72589 0.27411 0.09744 0.54058
9 -5578.753 0.65695 0.34305 0.06098 0.46261
10 -5403.587 0.74567 0.25433 0.07581 0.49344
11 -5685.790 0.62764 0.37236 0.06131 0.43275
12 -5518.532 0.56776 0.43224 0.04888 0.40566
13 -5476.653 0.59478 0.40522 0.05339 0.43714
14 -5544.735 0.58029 0.41971 0.05539 0.41952
15 -5707.944 0.59461 0.40539 0.05583 0.46115
16 -5564.140 0.65442 0.34558 0.07150 0.56835
17 -5624.360 0.66220 0.33780 0.08493 0.52935
18 -5589.455 0.63228 0.36772 0.06971 0.57429
19 -5359.724 0.71569 0.28431 0.08462 0.63809
20 -5474.051 0.68713 0.31287 0.07471 0.61056
21 -5488.502 0.65230 0.34770 0.06631 0.50630
22 -5563.019 0.68589 0.31411 0.08168 0.51976
23 -5576.017 0.60770 0.39230 0.05869 0.47377
24 -5590.095 0.65926 0.34074 0.07391 0.47036
25 -5455.965 0.72778 0.27222 0.09220 0.57288
26 -5447.399 0.58703 0.41297 0.06039 0.43391
27 -5456.048 0.73553 0.26447 0.08598 0.58480
28 -5541.306 0.69433 0.30567 0.07184 0.53272
29 -5550.681 0.57446 0.42554 0.04900 0.46269
30 -5527.500 0.63132 0.36868 0.06940 0.43942
31 -5621.400 0.59884 0.40116 0.06027 0.47014
32 -5734.719 0.67410 0.32590 0.09434 0.53212
33 -5596.229 0.54946 0.45054 0.03147 0.39830
34 -5643.252 0.78782 0.21218 0.10664 0.72529
35 -5409.632 0.57907 0.42093 0.05808 0.46451
36 -5648.032 0.61016 0.38984 0.06292 0.46630
37 -5797.680 0.67568 0.32432 0.07431 0.60927
38 -5681.067 0.70453 0.29547 0.08788 0.60718
39 -5471.201 0.65237 0.34763 0.06711 0.46551
40 -5503.734 0.63564 0.36436 0.05363 0.41891
41 -5499.653 0.53160 0.46840 0.04488 0.45194
42 -5724.450 0.73191 0.26809 0.09854 0.61261
43 -5627.780 0.64295 0.35705 0.06719 0.45962
44 -5698.238 0.60818 0.39182 0.06794 0.54929
45 -5500.334 0.54594 0.45406 0.03885 0.42414
46 -5657.666 0.64538 0.35462 0.07142 0.47654
47 -5631.118 0.72516 0.27484 0.08066 0.58909
48 -5542.813 0.65270 0.34730 0.06345 0.56856
49 -5386.300 0.69375 0.30625 0.06398 0.50592
50 -5457.329 0.64062 0.35938 0.05888 0.49293
