trial LL p0 p1 p2 w0 w1 w2 
1 -5370.398 0.55127 0.35654 0.09219 0.05580 0.34114 1.00037
2 -5393.345 0.55963 0.38706 0.05331 0.04800 0.36602 0.90049
3 -5767.727 0.16414 0.56480 0.27106 0.00000 0.10335 0.61152
4 -5417.965 0.57105 0.14227 0.28668 0.05907 0.15323 0.53603
5 -5509.263 0.65697 0.33350 0.00953 0.07842 0.53220 2.06432
6 -5548.663 0.70796 0.28609 0.00594 0.08409 0.54782 2.50752
7 -5480.286 0.24662 0.56729 0.18609 0.00000 0.15072 0.60707
8 -5700.260 0.13840 0.65637 0.20523 0.00000 0.14229 0.61539
9 -5575.974 0.60912 0.37627 0.01461 0.05286 0.39630 1.42631
10 -5402.108 0.38549 0.45099 0.16353 0.03522 0.15773 0.60065
11 -5684.395 0.55769 0.37496 0.06735 0.05117 0.32664 0.77474
12 -5517.782 0.18335 0.45500 0.36165 0.00000 0.09644 0.44334
13 -5475.030 0.52177 0.40199 0.07624 0.04169 0.32673 0.76991
14 -5543.498 0.30875 0.42559 0.26565 0.01725 0.16236 0.51469
15 -5706.468 0.45756 0.34298 0.19946 0.03591 0.24435 0.61230
16 -5558.752 0.24687 0.51500 0.23814 0.00000 0.15775 0.69187
17 -5622.522 0.53113 0.38441 0.08446 0.06289 0.33985 0.87382
18 -5588.790 0.60693 0.34484 0.04823 0.06523 0.49327 1.02505
19 -5357.040 0.19616 0.57264 0.23120 0.00000 0.13930 0.71134
20 -5472.053 0.29366 0.46025 0.24609 0.02040 0.14721 0.69382
21 -5488.272 0.13485 0.54501 0.32014 0.00975 0.09064 0.52786
22 -5562.962 0.03803 0.65732 0.30464 0.00000 0.08947 0.52737
23 -5573.970 0.27729 0.45812 0.26459 0.00985 0.15265 0.57508
24 -5589.758 0.62680 0.33883 0.03437 0.06895 0.40679 0.86186
25 -5450.303 0.23047 0.60823 0.16129 0.00000 0.17682 0.73171
26 -5446.617 0.17113 0.49822 0.33065 0.00000 0.11357 0.48139
27 -5453.580 0.18028 0.62903 0.19069 0.00000 0.14104 0.68384
28 -5540.229 0.16265 0.57825 0.25911 0.00000 0.11112 0.57662
29 -5549.487 0.49248 0.35477 0.15275 0.03587 0.30666 0.65745
30 -5523.168 0.22815 0.59470 0.17715 0.00000 0.16932 0.60739
31 -5621.400 0.27793 0.32091 0.40116 0.06027 0.06027 0.47014
32 -5733.161 0.13513 0.61280 0.25207 0.00052 0.14220 0.59943
33 -5591.514 0.36993 0.45045 0.17962 0.00525 0.19776 0.60577
34 -5637.894 0.40577 0.46978 0.12445 0.04081 0.23041 0.93558
35 -5404.993 0.27409 0.53268 0.19323 0.00000 0.19697 0.66619
36 -5646.592 0.54217 0.41292 0.04491 0.05073 0.37157 0.91457
37 -5795.569 0.38676 0.37082 0.24242 0.03298 0.17892 0.70453
38 -5679.614 0.13897 0.60729 0.25374 0.00000 0.12505 0.65682
39 -5469.079 0.21516 0.54838 0.23646 0.00000 0.13769 0.55521
40 -5498.558 0.45614 0.46908 0.07478 0.02611 0.24807 0.83086
41 -5496.509 0.42915 0.46880 0.10205 0.02659 0.30981 0.82249
42 -5717.143 0.51544 0.41377 0.07079 0.05790 0.32115 1.11645
43 -5624.634 0.36075 0.47334 0.16591 0.02436 0.19912 0.64504
44 -5694.082 0.56464 0.40913 0.02622 0.05945 0.46269 1.53336
45 -5500.230 0.12549 0.44292 0.43159 0.00000 0.05835 0.43642
46 -5656.444 0.62226 0.37098 0.00676 0.06728 0.44203 1.61374
47 -5630.392 0.55674 0.24468 0.19858 0.05934 0.21918 0.68086
48 -5542.813 0.24614 0.40655 0.34730 0.06345 0.06345 0.56856
49 -5383.326 0.24160 0.53441 0.22399 0.00000 0.12767 0.59013
50 -5456.598 0.16990 0.51596 0.31414 0.00000 0.09668 0.52627
