trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -5370.398 0.55127 0.23646 0.12009 0.09219 0.05580 0.34114 0.34114 1.00037
2 -5393.329 0.06001 0.51811 0.37272 0.04916 0.00000 0.05858 0.37889 0.91510
3 -5767.727 0.16414 0.56480 0.25102 0.02004 0.00000 0.10335 0.61151 0.61153
4 -5417.965 0.57105 0.14227 0.28668 0.00000 0.05907 0.15323 0.53603 3.29539
5 -5508.759 0.49704 0.28183 0.21478 0.00635 0.05687 0.23557 0.65396 2.35472
6 -5550.021 0.14647 0.29125 0.39322 0.16906 0.04812 0.04813 0.20693 0.75282
7 -5480.286 0.24662 0.03077 0.53652 0.18609 0.00000 0.15072 0.15072 0.60707
8 -5700.260 0.13840 0.35737 0.29900 0.20523 0.00000 0.14229 0.14229 0.61539
9 -5575.475 0.38207 0.35596 0.25486 0.00711 0.02743 0.15298 0.49140 1.83272
10 -5402.108 0.16697 0.21852 0.45099 0.16353 0.03521 0.03522 0.15773 0.60065
11 -5684.395 0.06556 0.49213 0.37496 0.06735 0.05116 0.05117 0.32663 0.77474
12 -5517.782 0.18335 0.12967 0.32533 0.36165 0.00000 0.09644 0.09644 0.44334
13 -5474.888 0.47719 0.27729 0.23800 0.00751 0.03682 0.23032 0.50320 1.53987
14 -5543.498 0.30875 0.08439 0.34120 0.26565 0.01725 0.16235 0.16236 0.51469
15 -5706.468 0.24263 0.21493 0.34298 0.19946 0.03591 0.03591 0.24435 0.61230
16 -5558.752 0.24687 0.51500 0.17533 0.06281 0.00000 0.15775 0.69187 0.69187
17 -5622.248 0.10905 0.52050 0.30558 0.06486 0.00000 0.10342 0.40772 0.91968
18 -5588.790 0.12518 0.48175 0.34484 0.04823 0.06523 0.06523 0.49327 1.02505
19 -5357.040 0.19616 0.57264 0.10080 0.13041 0.00000 0.13930 0.71134 0.71134
20 -5472.053 0.29366 0.08397 0.37628 0.24609 0.02040 0.14721 0.14721 0.69382
21 -5488.272 0.13485 0.54501 0.08457 0.23556 0.00975 0.09064 0.52786 0.52786
22 -5561.912 0.26914 0.39360 0.32931 0.00795 0.07768 0.07768 0.47567 1.62723
23 -5573.970 0.27729 0.45812 0.14951 0.11508 0.00985 0.15265 0.57508 0.57508
24 -5589.758 0.03307 0.59373 0.33883 0.03437 0.06895 0.06895 0.40679 0.86185
25 -5450.303 0.23040 0.41415 0.19401 0.16144 0.00000 0.17676 0.17676 0.73148
26 -5446.612 0.16389 0.47425 0.10805 0.25381 0.00000 0.10574 0.33790 0.50885
27 -5453.089 0.14704 0.56624 0.20300 0.08372 0.00000 0.11251 0.40205 0.89443
28 -5540.229 0.16265 0.04768 0.53056 0.25911 0.00000 0.11112 0.11112 0.57662
29 -5549.487 0.20765 0.28483 0.35477 0.15275 0.03587 0.03587 0.30665 0.65745
30 -5523.168 0.22815 0.09007 0.50463 0.17715 0.00000 0.16932 0.16932 0.60739
31 -5621.400 0.28741 0.31143 0.19543 0.20573 0.06027 0.06027 0.47014 0.47014
32 -5733.161 0.13513 0.28270 0.33010 0.25207 0.00052 0.14219 0.14220 0.59943
33 -5591.439 0.31201 0.23800 0.30591 0.14407 0.00000 0.10826 0.26726 0.64190
34 -5637.894 0.40577 0.18902 0.28076 0.12445 0.04081 0.23041 0.23041 0.93558
35 -5400.807 0.24787 0.43476 0.31042 0.00695 0.00000 0.14858 0.49743 2.90025
36 -5645.930 0.16677 0.48048 0.33938 0.01338 0.00000 0.10333 0.46034 1.26152
37 -5795.569 0.38676 0.03275 0.33807 0.24242 0.03298 0.17891 0.17892 0.70453
38 -5679.614 0.13897 0.16574 0.44155 0.25374 0.00000 0.12505 0.12505 0.65682
39 -5468.320 0.19943 0.52276 0.27331 0.00450 0.00000 0.12273 0.49519 1.78893
40 -5498.558 0.45614 0.46908 0.04947 0.02530 0.02611 0.24807 0.83085 0.83086
41 -5496.509 0.42915 0.11031 0.35849 0.10205 0.02659 0.30981 0.30981 0.82249
42 -5715.539 0.44189 0.42922 0.12174 0.00715 0.04861 0.25503 0.77931 2.91746
43 -5624.634 0.36075 0.06069 0.41265 0.16591 0.02436 0.19912 0.19912 0.64504
44 -5694.082 0.19729 0.36736 0.40913 0.02622 0.05945 0.05945 0.46269 1.53336
45 -5500.014 0.07406 0.47095 0.44606 0.00893 0.00000 0.04618 0.41118 1.10358
46 -5656.173 0.09112 0.56498 0.33822 0.00568 0.00000 0.08863 0.46495 1.69827
47 -5630.392 0.16620 0.39054 0.24468 0.19858 0.05934 0.05934 0.21918 0.68086
48 -5536.313 0.62204 0.09723 0.26802 0.01270 0.05792 0.50026 0.50026 2.40170
49 -5383.326 0.09640 0.14520 0.53441 0.22399 0.00000 0.00000 0.12767 0.59013
50 -5456.538 0.15965 0.51112 0.31908 0.01014 0.00000 0.09089 0.49805 0.99755
