trial LL w 
1 -7669.200 0.17333
2 -7289.170 0.15507
3 -7618.953 0.17052
4 -7456.986 0.16662
5 -7612.037 0.17101
6 -7181.356 0.15965
7 -7228.217 0.15671
8 -7573.896 0.15497
9 -7375.831 0.16712
10 -7275.655 0.16624
11 -7596.586 0.16538
12 -7437.763 0.16825
13 -7512.259 0.16892
14 -7356.105 0.15103
15 -7621.037 0.18376
16 -7505.262 0.17424
17 -7445.681 0.16959
18 -7161.607 0.15443
19 -7731.839 0.17768
20 -7410.737 0.17876
21 -7499.855 0.17880
22 -7321.950 0.14967
23 -7426.925 0.15428
24 -7331.450 0.16878
25 -7243.181 0.14631
26 -7734.801 0.15921
27 -7437.080 0.17211
28 -7350.304 0.13722
29 -7546.138 0.16899
30 -7427.852 0.17818
31 -7309.137 0.16033
32 -7590.655 0.17643
33 -7445.176 0.15553
34 -7417.457 0.15687
35 -7498.719 0.16513
36 -7206.161 0.15333
37 -7549.959 0.17469
38 -7509.078 0.16427
39 -7464.991 0.17514
40 -7183.616 0.13998
41 -7668.862 0.17650
42 -7265.551 0.14698
43 -7501.259 0.14911
44 -7533.209 0.17708
45 -7346.819 0.16366
46 -7415.624 0.16709
47 -7411.972 0.16920
48 -7330.979 0.17140
49 -7380.395 0.15368
50 -7484.011 0.16597
