trial LL p0 p1 w0 w1 
1 -7554.943 0.56222 0.43778 0.06731 0.36753
2 -7192.627 0.68456 0.31544 0.07446 0.39146
3 -7500.495 0.55334 0.44666 0.05891 0.35911
4 -7342.470 0.57690 0.42310 0.06395 0.35623
5 -7440.232 0.57422 0.42578 0.05170 0.40059
6 -7053.932 0.52148 0.47852 0.03983 0.33917
7 -7136.049 0.58162 0.41838 0.05831 0.33341
8 -7476.999 0.51822 0.48178 0.05229 0.30324
9 -7246.802 0.64192 0.35808 0.06656 0.41885
10 -7166.047 0.55946 0.44054 0.05557 0.34770
11 -7441.938 0.52388 0.47612 0.04370 0.35858
12 -7326.751 0.59778 0.40222 0.06597 0.37426
13 -7389.226 0.48750 0.51250 0.04397 0.32968
14 -7257.857 0.55073 0.44927 0.05684 0.30124
15 -7505.954 0.58431 0.41569 0.07020 0.39487
16 -7401.869 0.52459 0.47541 0.05845 0.34721
17 -7331.112 0.57257 0.42743 0.05906 0.36951
18 -7058.191 0.54468 0.45532 0.04988 0.33009
19 -7586.623 0.59834 0.40166 0.06691 0.41986
20 -7293.801 0.56913 0.43087 0.06100 0.39095
21 -7369.865 0.60506 0.39494 0.06779 0.41415
22 -7202.619 0.64910 0.35090 0.06154 0.37598
23 -7326.400 0.55316 0.44684 0.05384 0.31998
24 -7186.952 0.62212 0.37788 0.05838 0.41973
25 -7119.456 0.56307 0.43693 0.04775 0.32835
26 -7599.492 0.63037 0.36963 0.06678 0.39144
27 -7292.273 0.62461 0.37539 0.06529 0.43282
28 -7188.001 0.65010 0.34990 0.04987 0.37592
29 -7412.445 0.56582 0.43418 0.05699 0.36934
30 -7338.299 0.60716 0.39284 0.07469 0.37901
31 -7188.682 0.65425 0.34575 0.06690 0.40729
32 -7454.593 0.51870 0.48130 0.04862 0.36601
33 -7276.670 0.63767 0.36233 0.05564 0.41891
34 -7277.542 0.57230 0.42770 0.04947 0.34980
35 -7355.706 0.56078 0.43922 0.05165 0.36385
36 -7085.181 0.56129 0.43871 0.04616 0.33980
37 -7422.840 0.57646 0.42354 0.06162 0.37640
38 -7372.119 0.59209 0.40791 0.05622 0.38172
39 -7338.739 0.58443 0.41557 0.06453 0.39048
40 -7062.726 0.67150 0.32850 0.05919 0.38170
41 -7548.004 0.62309 0.37691 0.07501 0.40748
42 -7156.610 0.69198 0.30802 0.07142 0.38022
43 -7358.096 0.61627 0.38373 0.05481 0.36609
44 -7382.198 0.55084 0.44916 0.05102 0.39908
45 -7217.390 0.47028 0.52972 0.03549 0.31271
46 -7286.925 0.69228 0.30772 0.07839 0.46369
47 -7303.549 0.45449 0.54551 0.03882 0.30547
48 -7221.185 0.58268 0.41732 0.06378 0.37823
49 -7243.890 0.51718 0.48282 0.03813 0.32288
50 -7340.878 0.68261 0.31739 0.07170 0.46004
