trial LL p0 p1 p2 w0 w1 w2 
1 -7544.008 0.38326 0.50901 0.10773 0.04146 0.22696 0.69119
2 -7191.439 0.09556 0.62377 0.28067 0.01071 0.09296 0.41395
3 -7496.267 0.20236 0.46314 0.33450 0.01418 0.11576 0.41658
4 -7336.864 0.41941 0.46078 0.11981 0.04335 0.22221 0.58906
5 -7436.511 0.50848 0.32044 0.17109 0.04281 0.26579 0.56847
6 -7050.807 0.44482 0.39155 0.16364 0.02960 0.23205 0.49970
7 -7131.052 0.14981 0.53874 0.31145 0.00000 0.10328 0.38543
8 -7474.602 0.10721 0.48897 0.40382 0.00000 0.08250 0.33100
9 -7240.763 0.26819 0.48221 0.24960 0.01929 0.13361 0.50246
10 -7160.477 0.42638 0.45335 0.12027 0.03673 0.22739 0.56865
11 -7437.469 0.30291 0.35948 0.33761 0.01746 0.13055 0.42884
12 -7324.082 0.10446 0.54897 0.34657 0.00000 0.09265 0.40319
13 -7386.091 0.24417 0.35873 0.39711 0.01395 0.10990 0.37611
14 -7244.921 0.17522 0.63860 0.18618 0.00000 0.13499 0.44684
15 -7497.046 0.27446 0.51149 0.21405 0.02294 0.17076 0.53868
16 -7399.409 0.40989 0.37957 0.21054 0.04300 0.21698 0.46584
17 -7327.770 0.49013 0.39408 0.11579 0.04762 0.26408 0.58953
18 -7054.899 0.31593 0.37091 0.31316 0.02398 0.13023 0.39582
19 -7580.003 0.33145 0.40905 0.25951 0.03094 0.16523 0.51705
20 -7292.775 0.26632 0.35735 0.37633 0.03010 0.10933 0.41781
21 -7361.818 0.35131 0.45801 0.19068 0.03226 0.18978 0.58341
22 -7196.974 0.34851 0.42955 0.22194 0.02725 0.14127 0.46956
23 -7322.630 0.12904 0.50888 0.36208 0.00000 0.08867 0.35554
24 -7184.034 0.27701 0.41061 0.31238 0.02096 0.11149 0.46381
25 -7113.136 0.36960 0.39480 0.23559 0.02522 0.15458 0.44086
26 -7594.690 0.22883 0.48021 0.29096 0.02093 0.11515 0.43966
27 -7285.740 0.28022 0.45636 0.26342 0.02193 0.13926 0.52227
28 -7181.029 0.33040 0.42253 0.24707 0.01728 0.11531 0.45296
29 -7407.268 0.27635 0.41711 0.30655 0.02002 0.13325 0.43776
30 -7336.212 0.25613 0.46110 0.28276 0.03245 0.13815 0.43639
31 -7181.072 0.15847 0.59120 0.25034 0.00000 0.11158 0.48017
32 -7448.192 0.37957 0.44151 0.17892 0.02738 0.21762 0.54850
33 -7273.405 0.49725 0.25683 0.24592 0.04029 0.17698 0.50752
34 -7268.758 0.49276 0.43629 0.07095 0.03927 0.25613 0.74738
35 -7345.653 0.32380 0.44288 0.23332 0.01935 0.15996 0.49929
36 -7076.260 0.46882 0.46963 0.06155 0.03378 0.24917 0.77266
37 -7420.299 0.10633 0.51714 0.37653 0.00000 0.08685 0.40104
38 -7367.899 0.44749 0.34327 0.20924 0.03840 0.19941 0.51255
39 -7333.167 0.50339 0.43621 0.06039 0.05282 0.29978 0.80358
40 -7059.037 0.24741 0.49516 0.25743 0.01792 0.10254 0.43329
41 -7542.607 0.15469 0.56079 0.28452 0.00869 0.12113 0.46980
42 -7151.899 0.56517 0.35385 0.08098 0.05722 0.23933 0.67286
43 -7351.271 0.20886 0.49214 0.29900 0.00757 0.09982 0.41718
44 -7377.341 0.16340 0.44823 0.38838 0.00000 0.09018 0.43406
45 -7211.307 0.34449 0.40086 0.25466 0.02030 0.16956 0.44323
46 -7274.501 0.18512 0.62046 0.19442 0.00613 0.13685 0.59614
47 -7296.953 0.25664 0.43783 0.30553 0.01015 0.14315 0.40232
48 -7213.770 0.30379 0.48321 0.21300 0.02451 0.16803 0.51582
49 -7240.792 0.36379 0.30051 0.33571 0.02067 0.13862 0.38462
50 -7332.829 0.15053 0.59107 0.25840 0.00000 0.10763 0.51513
