trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -7543.243 0.07794 0.38641 0.44279 0.09286 0.00000 0.06866 0.25440 0.72440
2 -7191.252 0.05773 0.63520 0.27987 0.02720 0.00000 0.08476 0.37042 0.66913
3 -7496.044 0.10322 0.41276 0.22499 0.25902 0.00000 0.07483 0.21861 0.44818
4 -7336.661 0.05213 0.41663 0.42115 0.11009 0.00000 0.05840 0.23932 0.60070
5 -7436.511 0.09264 0.41583 0.32044 0.17109 0.04281 0.04281 0.26579 0.56847
6 -7050.267 0.33541 0.26097 0.38597 0.01765 0.02028 0.11162 0.34946 0.86482
7 -7131.052 0.14981 0.53874 0.04304 0.26840 0.00000 0.10328 0.38543 0.38543
8 -7474.289 0.10244 0.47187 0.41710 0.00859 0.00000 0.07824 0.31389 0.81367
9 -7240.509 0.21446 0.49066 0.24480 0.05009 0.01303 0.11361 0.41353 0.72187
10 -7160.169 0.40339 0.40878 0.18426 0.00356 0.03444 0.20002 0.47193 1.61932
11 -7437.034 0.12891 0.36410 0.25321 0.25377 0.00000 0.06011 0.22711 0.46472
12 -7323.459 0.09513 0.52311 0.35683 0.02493 0.00000 0.08506 0.35799 0.77282
13 -7385.933 0.11371 0.33000 0.22851 0.32778 0.00000 0.05670 0.18984 0.39781
14 -7244.652 0.16901 0.55153 0.20202 0.07745 0.00000 0.12102 0.29674 0.55863
15 -7497.046 0.27446 0.11818 0.39331 0.21405 0.02294 0.17076 0.17076 0.53868
16 -7399.375 0.39417 0.32732 0.26336 0.01515 0.04154 0.19300 0.40878 0.73904
17 -7327.770 0.08793 0.40219 0.39408 0.11579 0.04762 0.04762 0.26408 0.58953
18 -7054.899 0.31593 0.37091 0.12944 0.18371 0.02398 0.13023 0.39582 0.39582
19 -7580.003 0.15921 0.17224 0.40905 0.25951 0.03094 0.03094 0.16523 0.51705
20 -7291.669 0.10561 0.47613 0.40819 0.01007 0.01080 0.07765 0.38286 1.11044
21 -7361.510 0.09322 0.38698 0.35765 0.16215 0.00000 0.06762 0.23595 0.61286
22 -7196.972 0.34543 0.42843 0.20900 0.01714 0.02700 0.13958 0.45562 0.58919
23 -7322.630 0.12904 0.50888 0.18261 0.17947 0.00000 0.08867 0.35554 0.35554
24 -7183.860 0.17719 0.46135 0.22540 0.13606 0.01092 0.08540 0.35285 0.56110
25 -7112.503 0.35404 0.37575 0.26444 0.00577 0.02409 0.14188 0.40370 1.38110
26 -7594.620 0.21336 0.47982 0.27859 0.02823 0.01938 0.10949 0.40781 0.63931
27 -7285.740 0.28022 0.45636 0.11196 0.15146 0.02193 0.13926 0.52227 0.52227
28 -7180.205 0.14571 0.48894 0.24947 0.11589 0.00000 0.06608 0.27367 0.57317
29 -7407.268 0.27635 0.17612 0.24099 0.30655 0.02002 0.13325 0.13325 0.43776
30 -7336.208 0.02748 0.26942 0.42371 0.27939 0.00001 0.04372 0.14463 0.43775
31 -7180.791 0.14536 0.49573 0.16430 0.19462 0.00000 0.09441 0.23208 0.52462
32 -7446.911 0.14591 0.38021 0.39704 0.07684 0.00000 0.07589 0.31319 0.67643
33 -7273.405 0.49725 0.25683 0.14250 0.10342 0.04029 0.17698 0.50752 0.50752
34 -7268.358 0.07387 0.44431 0.41420 0.06762 0.00000 0.05149 0.26614 0.75693
35 -7345.653 0.32380 0.44288 0.10242 0.13090 0.01935 0.15996 0.49928 0.49929
36 -7075.855 0.09634 0.41480 0.43427 0.05459 0.00000 0.05121 0.26648 0.80296
37 -7420.299 0.10633 0.51714 0.14338 0.23315 0.00000 0.08685 0.40104 0.40104
38 -7367.670 0.06748 0.45048 0.30513 0.17691 0.00000 0.05591 0.23969 0.53548
39 -7332.073 0.27341 0.36251 0.34112 0.02296 0.02918 0.12000 0.38063 1.13027
40 -7058.816 0.11559 0.54717 0.18464 0.15259 0.00210 0.07379 0.27096 0.50198
41 -7542.212 0.56565 0.40796 0.02275 0.00364 0.06647 0.34132 1.10035 1.21995
42 -7151.817 0.02591 0.56565 0.33122 0.07722 0.00000 0.06377 0.25028 0.68125
43 -7351.242 0.19907 0.49217 0.29074 0.01802 0.00649 0.09646 0.39796 0.63359
44 -7376.104 0.15463 0.43055 0.39224 0.02259 0.00000 0.08259 0.39350 0.92829
45 -7211.307 0.14522 0.19926 0.40086 0.25466 0.02030 0.02030 0.16956 0.44323
46 -7273.614 0.13730 0.48357 0.23213 0.14699 0.00000 0.10016 0.24644 0.66204
47 -7296.953 0.25664 0.19988 0.23795 0.30553 0.01015 0.14315 0.14315 0.40232
48 -7213.770 0.11014 0.19365 0.48322 0.21300 0.02450 0.02451 0.16803 0.51582
49 -7240.792 0.36379 0.15568 0.14483 0.33571 0.02067 0.13862 0.13862 0.38462
50 -7332.590 0.14438 0.56659 0.15396 0.13507 0.00000 0.10127 0.37473 0.61385
