trial LL w 
1 -5380.498 0.14970
2 -5706.155 0.18897
3 -5636.968 0.14910
4 -5258.266 0.14033
5 -5495.520 0.15530
6 -5550.540 0.16178
7 -5737.269 0.22756
8 -5790.069 0.21504
9 -5553.265 0.14753
10 -5404.326 0.18793
11 -5359.334 0.16034
12 -5458.483 0.18901
13 -5659.704 0.17417
14 -5256.253 0.14244
15 -5457.065 0.18575
16 -5427.710 0.17242
17 -5288.496 0.16648
18 -5737.223 0.22035
19 -5335.839 0.15324
20 -5536.015 0.16737
21 -5448.217 0.15667
22 -5526.481 0.19967
23 -5420.879 0.16791
24 -5335.775 0.16081
25 -5415.232 0.17375
26 -5693.575 0.18506
27 -5598.429 0.19959
28 -5679.954 0.20295
29 -5536.044 0.14518
30 -5378.305 0.14248
31 -5709.468 0.23101
32 -5624.601 0.19862
33 -5319.521 0.17055
34 -5579.114 0.17099
35 -5606.250 0.16416
36 -5501.704 0.17728
37 -5692.475 0.24062
38 -5650.232 0.25810
39 -5448.835 0.19645
40 -5544.476 0.18290
41 -5479.638 0.19725
42 -5668.326 0.18414
43 -5540.896 0.17955
44 -5401.402 0.15441
45 -5424.905 0.14472
46 -5535.646 0.16429
47 -5490.702 0.16605
48 -5543.107 0.20911
49 -5412.629 0.17120
50 -5471.781 0.16941
