trial LL p0 p1 w0 w1 
1 -5268.825 0.65474 0.34526 0.02842 0.43825
2 -5613.094 0.55625 0.44375 0.03386 0.42219
3 -5520.870 0.63907 0.36093 0.03162 0.40309
4 -5174.214 0.60500 0.39500 0.02397 0.35655
5 -5402.905 0.61625 0.38375 0.03633 0.39438
6 -5472.710 0.70361 0.29639 0.06099 0.43928
7 -5623.865 0.62181 0.37819 0.05448 0.57346
8 -5682.555 0.54387 0.45613 0.03547 0.48394
9 -5441.792 0.64553 0.35447 0.03327 0.41624
10 -5319.149 0.61791 0.38209 0.04204 0.48492
11 -5249.633 0.68916 0.31084 0.04027 0.49975
12 -5379.144 0.58992 0.41008 0.04159 0.44780
13 -5562.059 0.65684 0.34316 0.05074 0.47033
14 -5166.523 0.69443 0.30557 0.04098 0.43586
15 -5390.153 0.49759 0.50241 0.02759 0.37159
16 -5340.776 0.65894 0.34106 0.04867 0.46326
17 -5168.650 0.68289 0.31711 0.04204 0.53491
18 -5623.799 0.54572 0.45428 0.03876 0.48690
19 -5225.753 0.65670 0.34330 0.03093 0.46908
20 -5443.851 0.62641 0.37359 0.03957 0.43320
21 -5328.920 0.63332 0.36668 0.02676 0.43066
22 -5442.879 0.68961 0.31039 0.06973 0.54654
23 -5340.693 0.69188 0.30812 0.05646 0.46895
24 -5255.033 0.59593 0.40407 0.03325 0.39175
25 -5336.960 0.56537 0.43463 0.03152 0.39224
26 -5609.699 0.54036 0.45964 0.03244 0.40681
27 -5501.077 0.49428 0.50572 0.02077 0.40400
28 -5569.272 0.61412 0.38588 0.04468 0.52233
29 -5433.994 0.61598 0.38402 0.02855 0.36797
30 -5301.655 0.59151 0.40849 0.02784 0.34482
31 -5631.620 0.53495 0.46505 0.05585 0.47333
32 -5511.946 0.60624 0.39376 0.04109 0.52301
33 -5247.121 0.69338 0.30662 0.06071 0.48193
34 -5476.643 0.63646 0.36354 0.03960 0.45798
35 -5498.149 0.67117 0.32883 0.04164 0.46942
36 -5404.192 0.62457 0.37543 0.04262 0.45367
37 -5609.741 0.55493 0.44507 0.05938 0.51544
38 -5555.749 0.54057 0.45943 0.05170 0.57100
39 -5357.900 0.63867 0.36133 0.05309 0.53069
40 -5428.688 0.65745 0.34255 0.04290 0.52063
41 -5392.769 0.54641 0.45359 0.02935 0.44272
42 -5545.763 0.57150 0.42850 0.02382 0.44206
43 -5453.207 0.59980 0.40020 0.03828 0.43656
44 -5297.342 0.64365 0.35635 0.02927 0.43124
45 -5320.968 0.66545 0.33455 0.03426 0.40905
46 -5434.785 0.62185 0.37815 0.03683 0.41245
47 -5394.321 0.57828 0.42172 0.02992 0.37447
48 -5403.135 0.65047 0.34953 0.04896 0.61175
49 -5328.249 0.63838 0.36162 0.04288 0.43210
50 -5370.428 0.62647 0.37353 0.03592 0.44367
