trial LL p0 p1 p2 w0 w1 w2 
1 -5266.961 0.53449 0.27516 0.19034 0.01410 0.20210 0.57615
2 -5613.085 0.54790 0.10024 0.35186 0.03278 0.31700 0.44526
3 -5516.487 0.52767 0.36353 0.10880 0.01769 0.23629 0.68065
4 -5172.347 0.52804 0.37424 0.09772 0.01498 0.24249 0.59973
5 -5392.703 0.41590 0.49911 0.08499 0.00754 0.21256 0.83696
6 -5468.821 0.24774 0.55897 0.19329 0.00000 0.12466 0.54548
7 -5622.360 0.53622 0.26775 0.19603 0.03894 0.32841 0.74634
8 -5681.960 0.53507 0.45720 0.00773 0.03383 0.46517 1.43880
9 -5440.637 0.56835 0.25449 0.17717 0.02420 0.23445 0.55002
10 -5318.871 0.19208 0.45725 0.35067 0.00000 0.07372 0.50822
11 -5248.346 0.67600 0.31660 0.00740 0.03802 0.46560 1.70078
12 -5378.068 0.54081 0.40016 0.05903 0.03381 0.35780 0.85280
13 -5558.515 0.35791 0.43004 0.21205 0.01170 0.15174 0.60668
14 -5166.340 0.57303 0.16462 0.26236 0.03133 0.12929 0.46931
15 -5379.906 0.34431 0.59775 0.05794 0.00000 0.24891 1.02291
16 -5336.651 0.47113 0.41411 0.11475 0.01993 0.23815 0.74080
17 -5165.335 0.33315 0.42883 0.23802 0.00000 0.11932 0.63100
18 -5619.530 0.48401 0.45126 0.06473 0.02757 0.37387 1.03434
19 -5222.963 0.37381 0.36769 0.25850 0.00000 0.11282 0.55284
20 -5442.363 0.57413 0.35841 0.06746 0.03199 0.33126 0.77657
21 -5323.271 0.46455 0.38330 0.15215 0.00546 0.19604 0.67374
22 -5441.149 0.20638 0.54927 0.24435 0.00000 0.12444 0.61666
23 -5335.782 0.30700 0.53293 0.16008 0.00000 0.15751 0.64812
24 -5254.715 0.54038 0.26250 0.19713 0.02632 0.25877 0.49376
25 -5335.603 0.46851 0.36081 0.17068 0.01848 0.23876 0.56520
26 -5609.321 0.42214 0.21096 0.36690 0.01841 0.15476 0.45001
27 -5498.008 0.37742 0.42026 0.20232 0.00247 0.23037 0.60571
28 -5567.517 0.58428 0.39067 0.02506 0.03902 0.45496 1.23300
29 -5432.292 0.32032 0.39238 0.28730 0.00000 0.09460 0.42978
30 -5299.679 0.48264 0.38729 0.13007 0.01551 0.20916 0.55273
31 -5626.465 0.26139 0.53264 0.20597 0.00000 0.21131 0.69515
32 -5510.500 0.58433 0.39502 0.02066 0.03705 0.46902 1.29475
33 -5247.121 0.30294 0.39044 0.30662 0.06071 0.06071 0.48194
34 -5474.294 0.47165 0.33188 0.19647 0.01928 0.19625 0.61739
35 -5496.683 0.40247 0.34691 0.25062 0.01378 0.12339 0.54224
36 -5400.970 0.30511 0.43120 0.26369 0.00000 0.12999 0.54324
37 -5605.380 0.50983 0.47854 0.01163 0.04875 0.45771 2.05247
38 -5548.026 0.39026 0.48511 0.12463 0.01926 0.33053 1.06295
39 -5355.640 0.61684 0.37486 0.00830 0.04892 0.48860 2.37972
40 -5423.577 0.45480 0.36880 0.17640 0.01257 0.20782 0.72747
41 -5391.523 0.42110 0.32780 0.25110 0.01034 0.22206 0.56691
42 -5541.504 0.53099 0.42381 0.04520 0.01714 0.36134 1.00825
43 -5450.711 0.31280 0.42229 0.26491 0.00000 0.13605 0.53778
44 -5293.664 0.40244 0.39201 0.20555 0.00000 0.14816 0.57280
45 -5319.260 0.32165 0.43808 0.24027 0.00002 0.10101 0.48723
46 -5431.496 0.32033 0.45189 0.22779 0.00000 0.13184 0.53156
47 -5394.321 0.57828 0.13615 0.28557 0.02992 0.37447 0.37447
48 -5397.203 0.45819 0.33022 0.21159 0.01777 0.21835 0.81208
49 -5327.344 0.23336 0.46421 0.30243 0.00000 0.08840 0.47353
50 -5362.120 0.54914 0.41842 0.03244 0.02334 0.33476 1.28606
