trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -5266.914 0.34083 0.33757 0.23293 0.08867 0.00000 0.07812 0.36884 0.68472
2 -5613.085 0.21352 0.33439 0.10024 0.35185 0.03278 0.03278 0.31700 0.44526
3 -5516.479 0.50426 0.16855 0.23040 0.09679 0.01582 0.16413 0.28566 0.70162
4 -5172.347 0.52804 0.32804 0.04620 0.09772 0.01498 0.24249 0.24249 0.59973
5 -5392.638 0.33651 0.25188 0.33822 0.07340 0.00000 0.10953 0.26184 0.87691
6 -5468.821 0.24774 0.47656 0.08241 0.19329 0.00000 0.12466 0.12466 0.54548
7 -5622.220 0.17779 0.44542 0.30181 0.07498 0.00000 0.08289 0.49525 0.91800
8 -5681.960 0.26678 0.26829 0.45720 0.00773 0.03383 0.03383 0.46517 1.43880
9 -5440.637 0.18397 0.38437 0.25449 0.17717 0.02418 0.02420 0.23445 0.55002
10 -5318.871 0.19208 0.45725 0.23419 0.11649 0.00000 0.07372 0.50822 0.50822
11 -5248.100 0.62414 0.13488 0.23638 0.00460 0.03219 0.22704 0.53573 2.01280
12 -5378.068 0.54081 0.02677 0.37339 0.05903 0.03381 0.35779 0.35780 0.85281
13 -5558.515 0.35790 0.11152 0.31852 0.21205 0.01170 0.15174 0.15174 0.60668
14 -5166.340 0.21943 0.35359 0.16462 0.26236 0.03133 0.03133 0.12928 0.46931
15 -5379.723 0.33662 0.54141 0.09223 0.02974 0.00000 0.22660 0.52466 1.26816
16 -5336.313 0.27883 0.39477 0.26066 0.06574 0.00000 0.10433 0.36645 0.86408
17 -5165.335 0.33315 0.18840 0.24042 0.23802 0.00000 0.11932 0.11932 0.63100
18 -5619.530 0.09631 0.38770 0.45126 0.06473 0.02756 0.02757 0.37387 1.03434
19 -5222.963 0.37381 0.07199 0.29571 0.25850 0.00000 0.11282 0.11282 0.55284
20 -5442.363 0.28211 0.29202 0.35841 0.06746 0.03199 0.03199 0.33126 0.77657
21 -5323.271 0.46455 0.15920 0.22410 0.15215 0.00546 0.19604 0.19604 0.67374
22 -5441.149 0.20638 0.11965 0.42962 0.24435 0.00000 0.12444 0.12444 0.61666
23 -5335.782 0.30700 0.22714 0.30578 0.16008 0.00000 0.15751 0.15751 0.64812
24 -5254.715 0.02617 0.51420 0.26250 0.19713 0.02629 0.02632 0.25877 0.49376
25 -5335.603 0.46851 0.14551 0.21530 0.17068 0.01848 0.23876 0.23876 0.56520
26 -5609.232 0.26053 0.31422 0.41924 0.00601 0.00545 0.07608 0.41521 1.05061
27 -5497.729 0.35379 0.34781 0.29207 0.00633 0.00000 0.18452 0.50329 1.39254
28 -5567.297 0.24712 0.37636 0.35661 0.01992 0.00740 0.07968 0.48882 1.29467
29 -5432.292 0.32032 0.39238 0.12229 0.16501 0.00000 0.09460 0.42978 0.42978
30 -5299.679 0.12353 0.35910 0.38729 0.13007 0.01551 0.01551 0.20916 0.55273
31 -5626.447 0.25758 0.49873 0.15004 0.09366 0.00000 0.19982 0.53709 0.80870
32 -5510.478 0.09684 0.49999 0.38488 0.01829 0.00001 0.04859 0.48082 1.33647
33 -5247.121 0.10695 0.58643 0.15780 0.14882 0.06071 0.06071 0.48193 0.48194
34 -5474.294 0.47165 0.33188 0.13229 0.06417 0.01928 0.19625 0.61739 0.61739
35 -5496.683 0.40247 0.04183 0.30508 0.25062 0.01378 0.12339 0.12339 0.54224
36 -5400.970 0.30511 0.18919 0.24201 0.26369 0.00000 0.12999 0.12999 0.54324
37 -5604.111 0.22399 0.41493 0.35276 0.00832 0.00000 0.14290 0.53866 2.38789
38 -5548.026 0.39026 0.22505 0.26006 0.12463 0.01926 0.33053 0.33053 1.06295
39 -5355.471 0.37829 0.28233 0.33201 0.00737 0.02581 0.11450 0.52155 2.45924
40 -5423.380 0.37724 0.39202 0.21720 0.01353 0.00415 0.15308 0.60650 1.32731
41 -5391.523 0.17135 0.24975 0.32780 0.25110 0.01034 0.01034 0.22206 0.56691
42 -5540.963 0.34472 0.26341 0.36897 0.02290 0.00000 0.08795 0.42586 1.22499
43 -5450.711 0.31280 0.09895 0.32333 0.26491 0.00000 0.13605 0.13605 0.53778
44 -5293.664 0.21144 0.19100 0.39201 0.20555 0.00000 0.00000 0.14816 0.57280
45 -5319.236 0.29770 0.38216 0.12455 0.19560 0.00000 0.07934 0.23873 0.51948
46 -5430.972 0.30750 0.42482 0.26081 0.00687 0.00000 0.11623 0.46931 1.50232
47 -5393.066 0.29047 0.36374 0.16626 0.17952 0.00000 0.09057 0.41587 0.41587
48 -5397.203 0.45819 0.33022 0.10876 0.10283 0.01777 0.21835 0.81208 0.81208
49 -5327.344 0.23336 0.46421 0.13334 0.16909 0.00000 0.08840 0.47353 0.47353
50 -5361.583 0.47266 0.33026 0.18365 0.01343 0.01447 0.21187 0.51702 1.73854
