trial LL w 
1 -6951.868 0.13362
2 -7293.098 0.15889
3 -7201.306 0.11178
4 -6997.220 0.11953
5 -7051.945 0.13546
6 -7075.584 0.11484
7 -7483.592 0.18183
8 -7480.488 0.17295
9 -7192.951 0.13029
10 -7081.423 0.15685
11 -7033.767 0.13982
12 -7266.196 0.13217
13 -7268.644 0.13391
14 -6759.729 0.11565
15 -7065.476 0.14304
16 -7036.046 0.13836
17 -6900.813 0.12745
18 -7446.345 0.15644
19 -6887.491 0.12325
20 -7111.170 0.12701
21 -7005.466 0.12319
22 -7439.469 0.15936
23 -7273.025 0.14557
24 -7127.514 0.13379
25 -7028.659 0.13314
26 -7332.113 0.15875
27 -7347.722 0.16281
28 -7354.868 0.17823
29 -7049.477 0.11049
30 -7037.494 0.12657
31 -7503.201 0.19251
32 -7394.281 0.17443
33 -7078.104 0.14152
34 -7338.749 0.14780
35 -7171.498 0.13858
36 -7275.069 0.15645
37 -7484.197 0.18434
38 -7487.932 0.18062
39 -7162.953 0.16529
40 -7271.821 0.15104
41 -7124.546 0.16806
42 -7215.029 0.15240
43 -7289.377 0.13953
44 -7103.204 0.11976
45 -7061.876 0.10705
46 -7093.610 0.13230
47 -7236.905 0.13338
48 -7309.389 0.14922
49 -7026.421 0.12339
50 -7070.227 0.13510
