trial LL p0 p1 w0 w1 
1 -6740.085 0.61054 0.38946 0.02415 0.36680
2 -7124.842 0.50602 0.49398 0.02725 0.33938
3 -6993.783 0.62581 0.37419 0.02616 0.30788
4 -6852.928 0.50082 0.49918 0.01736 0.24724
5 -6858.230 0.56555 0.43445 0.02606 0.32447
6 -6959.851 0.60445 0.39555 0.03760 0.26753
7 -7295.010 0.44572 0.55428 0.02158 0.34299
8 -7292.897 0.52215 0.47785 0.03386 0.37188
9 -7009.496 0.59937 0.40063 0.03437 0.33450
10 -6940.358 0.61805 0.38195 0.04665 0.39112
11 -6855.717 0.58478 0.41522 0.02938 0.34148
12 -7097.638 0.51949 0.48051 0.02224 0.28801
13 -7083.921 0.54096 0.45904 0.02734 0.29599
14 -6606.976 0.54591 0.45409 0.01901 0.26873
15 -6916.366 0.50099 0.49901 0.02327 0.29744
16 -6849.040 0.50838 0.49162 0.01538 0.30099
17 -6687.530 0.56634 0.43366 0.01819 0.33178
18 -7242.413 0.54325 0.45675 0.03197 0.36288
19 -6687.362 0.61252 0.38748 0.02337 0.34530
20 -6947.941 0.61256 0.38744 0.03409 0.33375
21 -6807.508 0.58652 0.41348 0.02053 0.31806
22 -7249.902 0.52995 0.47005 0.03062 0.34661
23 -7064.762 0.61615 0.38385 0.03624 0.38630
24 -6950.341 0.55095 0.44905 0.02591 0.30557
25 -6882.268 0.63570 0.36430 0.04135 0.34263
26 -7171.101 0.50791 0.49209 0.02972 0.33023
27 -7148.554 0.48725 0.51275 0.02157 0.33642
28 -7157.062 0.58168 0.41832 0.04213 0.44437
29 -6883.877 0.50772 0.49228 0.01422 0.24047
30 -6862.263 0.51164 0.48836 0.01691 0.28155
31 -7366.532 0.48711 0.51289 0.04677 0.37668
32 -7211.983 0.47934 0.52066 0.02534 0.36083
33 -6920.581 0.62361 0.37639 0.04282 0.36170
34 -7164.065 0.52533 0.47467 0.02858 0.32356
35 -6977.937 0.62921 0.37079 0.03574 0.37420
36 -7085.584 0.61026 0.38974 0.04366 0.40230
37 -7349.449 0.49507 0.50493 0.04827 0.35825
38 -7299.784 0.53367 0.46633 0.03821 0.41936
39 -6984.856 0.57102 0.42898 0.03732 0.40339
40 -7060.949 0.61578 0.38422 0.03697 0.41569
41 -6965.927 0.47893 0.52107 0.02259 0.34165
42 -7001.555 0.57351 0.42649 0.02696 0.38197
43 -7067.903 0.61473 0.38527 0.03187 0.37665
44 -6903.568 0.56070 0.43930 0.01594 0.29985
45 -6864.715 0.63213 0.36787 0.02460 0.30007
46 -6926.180 0.60923 0.39077 0.03589 0.33710
47 -7023.337 0.56632 0.43368 0.02480 0.32392
48 -7106.111 0.47674 0.52326 0.01518 0.30565
49 -6845.181 0.59757 0.40243 0.02579 0.31298
50 -6888.165 0.62604 0.37396 0.03565 0.36402
