trial LL p0 p1 p2 w0 w1 w2 
1 -6729.414 0.42543 0.31157 0.26300 0.00594 0.11631 0.47192
2 -7119.466 0.38464 0.29741 0.31796 0.01316 0.15000 0.42867
3 -6982.821 0.54718 0.38250 0.07032 0.01760 0.21290 0.65678
4 -6844.497 0.43805 0.49606 0.06589 0.01061 0.19009 0.55785
5 -6839.749 0.35420 0.42426 0.22155 0.00261 0.12839 0.48998
6 -6949.342 0.25364 0.53017 0.21619 0.00070 0.09889 0.36531
7 -7276.460 0.28909 0.38825 0.32267 0.00025 0.13708 0.48566
8 -7287.985 0.36002 0.28635 0.35364 0.01341 0.13781 0.43966
9 -6999.531 0.29739 0.40283 0.29977 0.00340 0.09265 0.39777
10 -6937.597 0.17287 0.47931 0.34782 0.00000 0.07422 0.41177
11 -6844.544 0.37457 0.37251 0.25291 0.00631 0.12481 0.45318
12 -7086.604 0.45081 0.46395 0.08524 0.01404 0.20855 0.63415
13 -7065.438 0.36507 0.44602 0.18891 0.00716 0.14152 0.48225
14 -6603.356 0.46320 0.32689 0.20991 0.01178 0.15476 0.38053
15 -6903.226 0.40455 0.48892 0.10653 0.01095 0.19831 0.61569
16 -6839.722 0.43125 0.39471 0.17405 0.00693 0.18406 0.49791
17 -6679.184 0.41724 0.28598 0.29678 0.00392 0.11479 0.41467
18 -7231.924 0.43276 0.38963 0.17761 0.01758 0.20734 0.56245
19 -6678.497 0.34820 0.35369 0.29812 0.00000 0.08367 0.40682
20 -6940.119 0.34399 0.38054 0.27547 0.00804 0.10117 0.40812
21 -6797.792 0.46011 0.34109 0.19879 0.00781 0.15310 0.46844
22 -7238.652 0.40908 0.41989 0.17103 0.01409 0.19883 0.55924
23 -7058.137 0.24964 0.42647 0.32389 0.00000 0.07959 0.42807
24 -6944.473 0.42791 0.34748 0.22461 0.01304 0.15496 0.41978
25 -6870.572 0.38599 0.42763 0.18638 0.01236 0.14014 0.48765
26 -7164.529 0.25832 0.36452 0.37717 0.00000 0.09808 0.38559
27 -7136.179 0.35971 0.37539 0.26490 0.00525 0.16058 0.48659
28 -7146.189 0.47450 0.35258 0.17293 0.02603 0.24400 0.68508
29 -6877.700 0.39089 0.32151 0.28760 0.00487 0.10939 0.32327
30 -6849.991 0.42407 0.43517 0.14076 0.00752 0.17636 0.52900
31 -7361.276 0.40099 0.45195 0.14706 0.03244 0.26211 0.60852
32 -7204.095 0.42985 0.46951 0.10064 0.01781 0.27607 0.68763
33 -6912.082 0.35424 0.42423 0.22153 0.01353 0.13164 0.48260
34 -7156.954 0.35047 0.33690 0.31263 0.00902 0.12357 0.40612
35 -6963.798 0.40921 0.40562 0.18517 0.00950 0.15049 0.55058
36 -7080.823 0.32178 0.36462 0.31359 0.01315 0.10478 0.45539
37 -7340.105 0.26660 0.44619 0.28721 0.01301 0.15394 0.47778
38 -7289.811 0.28567 0.37078 0.34355 0.00356 0.12388 0.50507
39 -6975.753 0.44647 0.38245 0.17108 0.01945 0.22200 0.62789
40 -7045.859 0.30628 0.40740 0.28632 0.00000 0.10642 0.49976
41 -6956.570 0.40014 0.44527 0.15459 0.01111 0.22557 0.57472
42 -6985.528 0.35121 0.36208 0.28672 0.00000 0.12005 0.48719
43 -7056.873 0.44561 0.31551 0.23888 0.01300 0.14460 0.49429
44 -6894.433 0.43374 0.32896 0.23731 0.00428 0.13195 0.42407
45 -6860.203 0.61983 0.37478 0.00539 0.02318 0.28299 1.59091
46 -6920.113 0.23479 0.46193 0.30328 0.00000 0.08090 0.38628
47 -7009.825 0.44038 0.41665 0.14297 0.00988 0.18269 0.54768
48 -7081.833 0.38560 0.42703 0.18737 0.00496 0.17030 0.55951
49 -6838.199 0.42121 0.31997 0.25882 0.00892 0.11796 0.39565
50 -6877.157 0.33749 0.40547 0.25704 0.00482 0.10655 0.45369
