trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -6729.414 0.42543 0.31157 0.08975 0.17325 0.00594 0.11631 0.47192 0.47192
2 -7119.466 0.18137 0.20327 0.29741 0.31796 0.01316 0.01316 0.15000 0.42867
3 -6979.286 0.27919 0.38325 0.30238 0.03519 0.00000 0.05920 0.28369 0.84846
4 -6843.669 0.34547 0.26809 0.35355 0.03290 0.00410 0.08942 0.25146 0.68175
5 -6839.749 0.35420 0.34077 0.08348 0.22155 0.00261 0.12839 0.12839 0.48998
6 -6949.333 0.24292 0.28770 0.26146 0.20792 0.00000 0.08107 0.11988 0.37019
7 -7276.460 0.28909 0.38825 0.08842 0.23425 0.00025 0.13708 0.48566 0.48566
8 -7287.039 0.20193 0.34460 0.38804 0.06543 0.00000 0.06622 0.34531 0.66437
9 -6999.531 0.14666 0.15072 0.40284 0.29978 0.00340 0.00340 0.09265 0.39777
10 -6937.597 0.17287 0.47931 0.09792 0.24989 0.00000 0.07422 0.41177 0.41177
11 -6844.544 0.37457 0.37251 0.10926 0.14365 0.00631 0.12480 0.45318 0.45318
13 -7065.438 0.17348 0.19159 0.44602 0.18891 0.00716 0.00716 0.14152 0.48225
14 -6603.356 0.14052 0.32268 0.32689 0.20991 0.01178 0.01179 0.15476 0.38053
16 -6839.722 0.43125 0.39471 0.13981 0.03424 0.00693 0.18406 0.49791 0.49791
17 -6678.916 0.33924 0.23733 0.18341 0.24002 0.00000 0.05943 0.20394 0.44353
18 -7231.079 0.20901 0.32295 0.35841 0.10963 0.00027 0.05688 0.27797 0.64617
21 -6797.522 0.30853 0.24831 0.28678 0.15638 0.00000 0.04734 0.20387 0.50383
23 -7057.882 0.24110 0.41363 0.26655 0.07873 0.00000 0.07337 0.36512 0.57894
24 -6944.391 0.38014 0.25406 0.24161 0.12420 0.00989 0.10300 0.26623 0.48015
25 -6870.572 0.12077 0.26522 0.42763 0.18638 0.01236 0.01236 0.14014 0.48765
26 -7164.417 0.25246 0.33497 0.27148 0.14109 0.00000 0.08882 0.31534 0.46925
27 -7136.179 0.35971 0.37539 0.13530 0.12960 0.00525 0.16058 0.48659 0.48659
28 -7145.829 0.13914 0.37995 0.32971 0.15120 0.00000 0.04678 0.27729 0.71501
29 -6877.700 0.39089 0.32151 0.18952 0.09808 0.00487 0.10939 0.32326 0.32327
30 -6849.897 0.25159 0.20256 0.41559 0.13026 0.00000 0.02761 0.18850 0.54189
31 -7360.434 0.22199 0.30152 0.43181 0.04468 0.01259 0.09514 0.35280 0.85604
35 -6962.559 0.28270 0.37968 0.24854 0.08909 0.00000 0.08087 0.30262 0.69463
36 -7080.823 0.32178 0.36462 0.16283 0.15076 0.01315 0.10479 0.45539 0.45539
37 -7337.900 0.24719 0.42282 0.32398 0.00600 0.01074 0.13863 0.43492 1.97691
38 -7289.030 0.24758 0.36200 0.36422 0.02620 0.00000 0.09961 0.43929 0.96237
39 -6974.378 0.34730 0.31135 0.30882 0.03253 0.01046 0.12094 0.41283 1.04428
41 -6955.288 0.30271 0.28578 0.37873 0.03278 0.00194 0.10640 0.35433 0.89718
43 -7054.634 0.41687 0.30011 0.27015 0.01288 0.01115 0.11972 0.42600 1.25500
48 -7081.833 0.38560 0.24122 0.18581 0.18737 0.00496 0.17030 0.17030 0.55951
50 -6877.139 0.29015 0.15901 0.30282 0.24802 0.00218 0.05580 0.12520 0.46014
