trial LL w 
1 -2586.644 0.62459
2 -2563.797 0.62298
3 -2554.565 0.63713
4 -2486.167 0.51345
5 -2560.392 0.60932
6 -2613.385 0.63606
7 -2609.818 0.70235
8 -2512.564 0.58457
9 -2606.405 0.68139
10 -2565.997 0.70613
11 -2452.994 0.58244
12 -2589.503 0.61969
13 -2559.661 0.85811
14 -2593.380 0.64862
15 -2592.985 0.66161
16 -2598.735 0.68263
17 -2564.091 0.69713
18 -2476.743 0.69810
19 -2484.549 0.51104
20 -2607.005 0.72667
21 -2437.365 0.59720
22 -2528.430 0.60681
23 -2652.783 0.69961
24 -2552.486 0.47409
25 -2501.567 0.59459
26 -2585.319 0.65656
27 -2558.986 0.74465
28 -2478.756 0.70851
29 -2506.576 0.56436
30 -2591.266 0.55181
31 -2637.953 0.63537
32 -2554.352 0.65685
33 -2608.565 0.62262
34 -2488.907 0.83173
35 -2506.146 0.60229
36 -2518.958 0.68370
37 -2501.479 0.66438
38 -2552.696 0.71153
39 -2610.922 0.63926
40 -2500.422 0.72550
41 -2628.335 0.67575
42 -2591.073 0.65332
43 -2396.769 0.60365
44 -2585.015 0.79054
45 -2493.898 0.53804
46 -2593.381 0.65303
47 -2493.600 0.55907
48 -2492.816 0.71084
49 -2641.054 0.57192
50 -2636.820 0.71866
