trial LL p0 p1 w0 w1 
1 -2578.224 0.12347 0.87653 0.13932 0.67482
2 -2541.757 0.32014 0.67986 0.20030 0.79846
3 -2536.303 0.75334 0.24666 0.42871 1.11942
4 -2468.659 0.37137 0.62863 0.27564 0.60175
5 -2540.119 0.67799 0.32201 0.39587 1.05257
6 -2582.098 0.09833 0.90167 0.05069 0.65841
7 -2588.892 0.50611 0.49389 0.42442 0.94888
8 -2494.815 0.60810 0.39190 0.32907 1.05846
9 -2600.237 0.48692 0.51308 0.45374 0.82457
10 -2531.832 0.18701 0.81299 0.10502 0.76720
11 -2432.183 0.60667 0.39333 0.33938 0.97452
12 -2578.413 0.43345 0.56655 0.31071 0.83591
13 -2534.542 0.76588 0.23412 0.56097 1.61658
14 -2570.097 0.16651 0.83349 0.12895 0.70976
15 -2569.794 0.61976 0.38024 0.37795 1.08021
16 -2566.870 0.39607 0.60393 0.27308 0.92642
17 -2543.919 0.66278 0.33722 0.42988 1.12536
18 -2463.721 0.39356 0.60644 0.31323 0.93397
19 -2469.297 0.72735 0.27265 0.35584 0.73145
20 -2591.224 0.08498 0.91502 0.06266 0.73588
21 -2422.650 0.50710 0.49290 0.31504 0.91291
22 -2519.801 0.55225 0.44775 0.39837 0.84053
23 -2613.877 0.23584 0.76416 0.13265 0.86150
24 -2533.752 0.79688 0.20312 0.34532 0.91525
25 -2487.595 0.30032 0.69968 0.26132 0.67229
26 -2556.041 0.40476 0.59524 0.29191 0.73801
27 -2543.521 0.55824 0.44176 0.43932 1.09381
28 -2453.044 0.15159 0.84841 0.14701 0.68887
29 -2485.935 0.47475 0.52525 0.25360 0.81750
30 -2570.168 0.66438 0.33562 0.35368 0.88527
31 -2622.018 0.35976 0.64024 0.33024 0.77069
32 -2522.021 0.32356 0.67644 0.16966 0.85188
33 -2582.942 0.18543 0.81457 0.15399 0.69588
34 -2474.675 0.33566 0.66434 0.34072 1.13101
35 -2482.308 0.61986 0.38014 0.33838 1.04411
36 -2502.205 0.57179 0.42821 0.37515 1.04917
37 -2477.361 0.59977 0.40023 0.34996 1.08801
38 -2524.421 0.46755 0.53245 0.33714 1.01156
39 -2596.534 0.34146 0.65854 0.24406 0.84640
40 -2475.773 0.78838 0.21162 0.51455 1.73737
41 -2603.098 0.64753 0.35247 0.39662 1.02619
42 -2568.638 0.16354 0.83646 0.21700 0.69836
43 -2382.084 0.72510 0.27490 0.39582 1.16151
44 -2561.054 0.23998 0.76002 0.24861 0.83669
45 -2470.256 0.88679 0.11321 0.42296 1.65550
46 -2576.300 0.68487 0.31513 0.42536 1.12403
47 -2483.852 0.60963 0.39037 0.37305 0.81221
48 -2473.328 0.41897 0.58103 0.29645 0.99204
49 -2624.480 0.60090 0.39910 0.40736 0.73531
50 -2602.983 0.91037 0.08963 0.54703 2.00893
