trial LL p0 p1 p2 w0 w1 w2 
1 -2577.745 0.03547 0.15606 0.80847 0.00000 0.30738 0.69476
2 -2541.757 0.32014 0.08772 0.59214 0.20030 0.79846 0.79846
3 -2536.303 0.75334 0.03079 0.21588 0.42871 1.11942 1.11942
4 -2468.659 0.07261 0.29876 0.62863 0.27564 0.27564 0.60175
5 -2539.462 0.01607 0.71224 0.27169 0.00000 0.43023 1.11360
6 -2582.040 0.08430 0.63072 0.28498 0.03573 0.58062 0.81796
7 -2588.714 0.01021 0.56338 0.42642 0.00000 0.46525 0.98958
8 -2494.815 0.60810 0.02443 0.36747 0.32907 1.05846 1.05846
9 -2598.389 0.02159 0.96808 0.01033 0.00176 0.63530 3.46086
10 -2531.832 0.12920 0.05781 0.81299 0.10502 0.10502 0.76720
11 -2429.935 0.04788 0.69771 0.25441 0.00000 0.43732 1.13655
12 -2578.325 0.33144 0.56137 0.10719 0.27505 0.69599 1.21173
13 -2534.542 0.65099 0.11489 0.23412 0.56097 0.56097 1.61658
14 -2569.873 0.13120 0.70889 0.15991 0.10499 0.61624 1.06959
15 -2569.794 0.31638 0.30338 0.38024 0.37795 0.37795 1.08021
16 -2566.583 0.23258 0.49021 0.27721 0.19701 0.62274 1.16818
17 -2541.545 0.05119 0.75511 0.19370 0.01436 0.54046 1.35715
18 -2463.369 0.22176 0.65104 0.12720 0.21958 0.71172 1.42916
19 -2469.297 0.05599 0.67136 0.27265 0.35584 0.35584 0.73145
20 -2590.427 0.06637 0.84868 0.08495 0.03698 0.66510 1.45027
21 -2422.568 0.44787 0.51531 0.03682 0.29601 0.81771 1.64267
22 -2519.801 0.55225 0.21630 0.23144 0.39837 0.84053 0.84054
23 -2613.362 0.20246 0.70461 0.09293 0.10941 0.76382 1.45534
24 -2533.686 0.66626 0.26767 0.06606 0.32016 0.63258 1.20229
25 -2487.595 0.30032 0.14174 0.55793 0.26132 0.67229 0.67229
26 -2555.263 0.29923 0.68264 0.01814 0.25484 0.65547 2.58246
27 -2543.521 0.55824 0.44176 0.00000 0.43932 1.09381 3.56058
28 -2453.044 0.15159 0.18301 0.66540 0.14701 0.68887 0.68887
29 -2485.935 0.47475 0.20852 0.31674 0.25360 0.81750 0.81750
30 -2570.049 0.44490 0.45451 0.10059 0.30088 0.61544 1.18418
31 -2621.946 0.08083 0.45082 0.46835 0.18319 0.46145 0.83501
32 -2522.021 0.32356 0.22171 0.45474 0.16966 0.85188 0.85188
33 -2582.942 0.10946 0.07597 0.81457 0.15399 0.15399 0.69588
34 -2474.675 0.10196 0.23369 0.66434 0.34072 0.34072 1.13101
35 -2481.149 0.05000 0.69878 0.25122 0.03411 0.43002 1.22198
36 -2502.049 0.54434 0.45042 0.00524 0.36755 1.01034 6.09861
37 -2477.313 0.00897 0.61608 0.37495 0.00000 0.36839 1.11863
38 -2524.421 0.46755 0.11868 0.41377 0.33714 1.01156 1.01156
39 -2596.534 0.34146 0.15203 0.50651 0.24406 0.84640 0.84640
40 -2472.743 0.41571 0.54821 0.03608 0.35473 0.92011 3.94610
41 -2603.098 0.64753 0.14533 0.20713 0.39662 1.02619 1.02619
42 -2567.627 0.02744 0.67228 0.30027 0.00000 0.51344 0.93673
43 -2382.084 0.72510 0.27468 0.00021 0.39582 1.16151 1.16152
44 -2561.054 0.23998 0.47194 0.28808 0.24861 0.83669 0.83669
45 -2467.573 0.25635 0.68205 0.06160 0.19220 0.57328 2.28113
46 -2576.217 0.50487 0.35933 0.13580 0.37941 0.74182 1.41244
47 -2483.781 0.39770 0.54102 0.06128 0.32320 0.63093 1.27299
48 -2473.328 0.41897 0.14327 0.43776 0.29645 0.99204 0.99204
49 -2624.480 0.60090 0.18467 0.21443 0.40736 0.73531 0.73531
50 -2601.834 0.34399 0.60356 0.05245 0.35304 0.72573 2.49643
