trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -2578.224 0.12347 0.11746 0.27084 0.48823 0.13932 0.67482 0.67482 0.67482
2 -2541.757 0.32014 0.09665 0.10549 0.47772 0.20030 0.79846 0.79846 0.79846
3 -2536.303 0.17609 0.29772 0.27953 0.24666 0.42871 0.42871 0.42871 1.11942
4 -2468.659 0.37137 0.62863 0.00000 0.00000 0.27564 0.60175 1.05045 11.30397
5 -2539.462 0.01607 0.33655 0.37570 0.27169 0.00000 0.43023 0.43023 1.11360
6 -2582.040 0.08430 0.63072 0.19432 0.09066 0.03573 0.58062 0.81796 0.81796
7 -2588.714 0.01021 0.56338 0.34094 0.08548 0.00000 0.46525 0.98958 0.98958
8 -2494.815 0.20239 0.40570 0.18899 0.20292 0.32907 0.32907 1.05846 1.05846
9 -2598.341 0.01921 0.17457 0.79620 0.01002 0.00000 0.46391 0.67481 3.50077
10 -2531.832 0.18701 0.41525 0.16504 0.23270 0.10502 0.76720 0.76720 0.76720
11 -2429.935 0.04788 0.67934 0.01837 0.25441 0.00000 0.43732 0.43732 1.13655
12 -2578.325 0.33144 0.31288 0.24849 0.10719 0.27505 0.69599 0.69599 1.21173
13 -2534.542 0.76588 0.17978 0.03221 0.02212 0.56097 1.61658 1.61658 1.61658
14 -2569.873 0.07657 0.05463 0.70889 0.15991 0.10499 0.10499 0.61624 1.06959
15 -2569.650 0.25755 0.31227 0.40008 0.03009 0.36353 0.36353 0.95613 2.05535
16 -2566.535 0.01588 0.30278 0.44181 0.23952 0.00000 0.26689 0.70031 1.18679
17 -2541.545 0.05119 0.38355 0.37156 0.19370 0.01436 0.54046 0.54046 1.35715
18 -2463.369 0.22176 0.21932 0.43172 0.12720 0.21958 0.71172 0.71172 1.42916
19 -2469.185 0.04609 0.58213 0.36305 0.00873 0.34038 0.34038 0.63128 1.96470
20 -2590.427 0.06637 0.17050 0.67818 0.08495 0.03698 0.66510 0.66510 1.45027
21 -2422.568 0.08508 0.36279 0.51531 0.03682 0.29601 0.29601 0.81771 1.64267
22 -2519.801 0.29858 0.25367 0.13083 0.31692 0.39837 0.39837 0.84053 0.84053
23 -2613.361 0.19898 0.35820 0.38242 0.06039 0.10748 0.68572 0.87275 1.57320
24 -2533.686 0.66626 0.15821 0.10947 0.06606 0.32016 0.63258 0.63258 1.20229
25 -2487.595 0.30032 0.23844 0.13731 0.32392 0.26132 0.67229 0.67229 0.67229
26 -2555.263 0.29923 0.66036 0.02227 0.01814 0.25484 0.65547 0.65547 2.58246
27 -2543.230 0.18778 0.65321 0.00074 0.15827 0.27762 0.68463 1.46869 1.46869
28 -2452.995 0.01890 0.05336 0.10535 0.82238 0.00000 0.20628 0.20628 0.69912
29 -2485.935 0.11191 0.36283 0.11270 0.41255 0.25360 0.25360 0.81750 0.81750
30 -2570.049 0.23299 0.21191 0.45451 0.10059 0.30088 0.30088 0.61544 1.18418
31 -2621.946 0.08083 0.45082 0.23742 0.23092 0.18319 0.46145 0.83501 0.83501
32 -2521.835 0.03685 0.31250 0.12966 0.52099 0.00000 0.21344 0.86903 0.86903
33 -2582.914 0.17004 0.18589 0.56247 0.08160 0.14483 0.65794 0.65794 0.99002
34 -2474.675 0.33566 0.25301 0.16533 0.24600 0.34072 1.13101 1.13101 1.13101
35 -2481.134 0.02895 0.19137 0.55765 0.22202 0.00000 0.27794 0.49371 1.26798
36 -2502.049 0.54434 0.45039 0.00003 0.00524 0.36755 1.01034 1.01041 6.09862
37 -2476.738 0.43958 0.09280 0.37678 0.09084 0.29559 0.77959 0.77959 1.82596
38 -2524.421 0.11677 0.22845 0.12233 0.53245 0.33714 0.33714 0.33714 1.01156
39 -2596.534 0.12554 0.21592 0.06713 0.59141 0.24406 0.24406 0.84640 0.84640
40 -2472.169 0.03922 0.61054 0.31946 0.03078 0.02866 0.50253 1.12842 4.12761
41 -2603.098 0.44213 0.20540 0.16058 0.19188 0.39662 0.39662 1.02619 1.02619
42 -2567.627 0.02744 0.67228 0.10504 0.19523 0.00000 0.51344 0.93673 0.93673
43 -2382.084 0.35037 0.37473 0.13578 0.13911 0.39582 0.39582 1.16151 1.16151
44 -2561.054 0.23998 0.24092 0.15619 0.36291 0.24861 0.83669 0.83669 0.83669
45 -2467.573 0.25635 0.24374 0.43831 0.06160 0.19220 0.57328 0.57328 2.28113
46 -2576.217 0.50487 0.27202 0.08731 0.13580 0.37941 0.74182 0.74182 1.41244
47 -2483.781 0.39770 0.35146 0.18956 0.06128 0.32320 0.63093 0.63093 1.27299
48 -2473.328 0.22615 0.19282 0.40140 0.17962 0.29645 0.29645 0.99204 0.99204
49 -2624.480 0.60090 0.25839 0.08795 0.05276 0.40736 0.73531 0.73531 0.73531
50 -2601.834 0.12161 0.22238 0.60356 0.05245 0.35304 0.35304 0.72573 2.49643
