trial LL w 
1 -2077.707 0.16412
2 -2302.319 0.16912
3 -1949.955 0.16404
4 -2137.778 0.16058
5 -2261.166 0.18453
6 -2082.522 0.15413
7 -2193.061 0.17278
8 -2038.325 0.20068
9 -1970.098 0.17366
10 -2246.694 0.17842
11 -2048.943 0.15817
12 -2254.496 0.17211
13 -2109.023 0.18719
14 -2112.850 0.14611
15 -2078.703 0.14029
16 -2083.294 0.13246
17 -2229.762 0.17487
18 -1957.833 0.11612
19 -2201.854 0.16085
20 -2138.342 0.14920
21 -2210.707 0.18877
22 -2046.666 0.14753
23 -2153.177 0.16689
24 -2126.489 0.19073
25 -2075.491 0.18094
26 -2076.301 0.17608
27 -2212.607 0.15748
28 -2075.842 0.14343
29 -1980.502 0.14510
30 -2152.308 0.21874
31 -2102.418 0.13781
32 -2159.539 0.18035
33 -2225.114 0.19736
34 -2159.877 0.19274
35 -2242.556 0.16321
36 -2374.056 0.21574
37 -2268.487 0.17788
38 -2172.218 0.16602
39 -2253.532 0.22002
40 -2145.300 0.15970
41 -2270.694 0.17603
42 -2102.527 0.14349
43 -2286.719 0.19562
44 -2182.471 0.16694
45 -2179.005 0.23630
46 -2106.021 0.16967
47 -2297.803 0.21017
48 -1996.054 0.18008
49 -2247.191 0.18006
50 -2132.196 0.20520
