trial LL p0 p1 w0 w1 
1 -2037.646 0.65368 0.34632 0.06083 0.36754
2 -2250.693 0.46571 0.53429 0.03778 0.28954
3 -1913.970 0.58138 0.41862 0.05088 0.29455
4 -2096.231 0.46920 0.53080 0.03481 0.25611
5 -2207.388 0.53597 0.46403 0.04546 0.37086
6 -2015.404 0.71647 0.28353 0.05010 0.38162
7 -2155.470 0.61344 0.38656 0.06490 0.36204
8 -1983.670 0.49070 0.50930 0.02767 0.35124
9 -1920.496 0.66361 0.33639 0.05188 0.38067
10 -2188.958 0.61466 0.38534 0.05350 0.35729
11 -2014.401 0.49386 0.50614 0.03480 0.26259
12 -2195.488 0.64840 0.35160 0.05814 0.41194
13 -2068.712 0.38408 0.61592 0.01711 0.27177
14 -2068.834 0.49744 0.50256 0.02297 0.27862
15 -2014.488 0.46327 0.53673 0.02352 0.20530
16 -2042.319 0.51667 0.48333 0.02846 0.25099
17 -2183.650 0.61919 0.38081 0.05841 0.32699
18 -1918.219 0.53089 0.46911 0.01637 0.22615
19 -2171.933 0.50323 0.49677 0.05238 0.28280
20 -2087.643 0.74319 0.25681 0.06314 0.44899
21 -2164.139 0.73819 0.26181 0.09013 0.46320
22 -1992.548 0.43499 0.56501 0.01687 0.21866
23 -2124.777 0.53324 0.46676 0.05218 0.27769
24 -2079.677 0.34087 0.65913 0.01239 0.24407
25 -1999.318 0.64929 0.35071 0.04056 0.45391
26 -2040.269 0.42026 0.57974 0.02966 0.27116
27 -2180.478 0.41503 0.58497 0.03682 0.22458
28 -2033.848 0.38601 0.61399 0.01243 0.21289
29 -1919.268 0.64704 0.35296 0.03662 0.30606
30 -2102.574 0.58377 0.41623 0.06560 0.42166
31 -2053.494 0.59995 0.40005 0.03833 0.29466
32 -2123.558 0.47009 0.52991 0.04248 0.29680
33 -2162.569 0.35524 0.64476 0.01474 0.29117
34 -2117.230 0.74581 0.25419 0.08839 0.47000
35 -2172.318 0.64792 0.35208 0.04638 0.36783
36 -2311.177 0.74104 0.25896 0.09431 0.59682
37 -2225.140 0.28137 0.71863 0.01276 0.23060
38 -2115.510 0.56089 0.43911 0.03586 0.35237
39 -2209.748 0.46062 0.53938 0.04376 0.38043
40 -2111.618 0.47021 0.52979 0.03975 0.25382
41 -2229.023 0.43127 0.56873 0.04349 0.24977
42 -2043.779 0.48092 0.51908 0.02351 0.24682
43 -2225.166 0.65976 0.34024 0.07146 0.39739
44 -2132.684 0.54139 0.45861 0.04629 0.29886
45 -2140.064 0.50722 0.49278 0.06994 0.35273
46 -2065.048 0.42553 0.57447 0.02701 0.25707
47 -2238.564 0.57507 0.42493 0.06125 0.40850
48 -1959.206 0.43307 0.56693 0.02567 0.27165
49 -2203.272 0.43784 0.56216 0.03193 0.29002
50 -2063.334 0.62581 0.37419 0.05278 0.45286
