trial LL p0 p1 p2 w0 w1 w2 
1 -2036.714 0.56813 0.38757 0.04431 0.05058 0.27262 0.73992
2 -2246.376 0.21125 0.59471 0.19404 0.00290 0.14051 0.48631
3 -1908.779 0.22457 0.69931 0.07612 0.00000 0.15024 0.77365
4 -2094.752 0.25144 0.56491 0.18365 0.00740 0.13937 0.40809
5 -2206.083 0.20158 0.44857 0.34985 0.00444 0.10327 0.43254
6 -2010.876 0.24855 0.55150 0.19995 0.00000 0.09880 0.46100
7 -2148.455 0.21981 0.63745 0.14274 0.00000 0.15993 0.62255
8 -1981.465 0.35063 0.43578 0.21360 0.00910 0.18526 0.53878
9 -1920.485 0.57006 0.11168 0.31826 0.04619 0.10889 0.39060
10 -2183.597 0.45323 0.49329 0.05349 0.03162 0.22904 0.94895
11 -2013.887 0.39071 0.44378 0.16551 0.02428 0.17311 0.38816
12 -2190.694 0.47325 0.46716 0.05959 0.03376 0.24244 0.99864
13 -2059.574 0.27153 0.66937 0.05911 0.00000 0.19070 0.96675
14 -2067.978 0.43469 0.42804 0.13727 0.01677 0.19684 0.45683
15 -2011.841 0.35524 0.59219 0.05257 0.01239 0.15248 0.54220
16 -2040.979 0.22382 0.40991 0.36628 0.00000 0.07762 0.28975
17 -2178.040 0.27848 0.63091 0.09061 0.00831 0.16375 0.71238
18 -1917.383 0.50237 0.48103 0.01660 0.01359 0.20227 0.73359
19 -2170.546 0.13635 0.50149 0.36216 0.00000 0.10160 0.32427
20 -2086.616 0.23766 0.56550 0.19685 0.01683 0.10225 0.51646
21 -2163.131 0.65730 0.31872 0.02398 0.07844 0.35135 1.20882
22 -1991.099 0.32719 0.58510 0.08771 0.00573 0.15537 0.45865
23 -2123.827 0.20107 0.58433 0.21460 0.00889 0.12969 0.38658
24 -2078.162 0.28081 0.65242 0.06677 0.00375 0.19802 0.61703
25 -1995.467 0.30982 0.45979 0.23039 0.00000 0.12096 0.58601
26 -2040.253 0.39622 0.20343 0.40034 0.02688 0.19730 0.29746
27 -2179.623 0.24142 0.56920 0.18937 0.01516 0.14112 0.34632
28 -2030.178 0.27637 0.62982 0.09381 0.00000 0.14672 0.52998
29 -1919.175 0.08288 0.57838 0.33874 0.00000 0.04488 0.31300
30 -2102.230 0.41834 0.31389 0.26776 0.04524 0.19247 0.51289
31 -2046.709 0.27581 0.60688 0.11731 0.00000 0.13473 0.57534
32 -2121.568 0.18685 0.58142 0.23173 0.00000 0.13551 0.44823
33 -2158.910 0.26451 0.63559 0.09990 0.00065 0.20934 0.63361
34 -2109.027 0.32001 0.63788 0.04211 0.02106 0.20676 1.38878
35 -2168.309 0.23975 0.50397 0.25628 0.00000 0.09802 0.43857
36 -2309.733 0.09066 0.68257 0.22677 0.00000 0.11832 0.64437
37 -2220.887 0.18985 0.58884 0.22131 0.00000 0.14288 0.42131
38 -2115.510 0.56089 0.42676 0.01235 0.03586 0.35237 0.35237
39 -2209.748 0.46062 0.18960 0.34978 0.04376 0.38043 0.38043
40 -2110.964 0.25550 0.47133 0.27316 0.01657 0.12544 0.34008
41 -2229.023 0.43127 0.29148 0.27725 0.04349 0.24977 0.24977
42 -2043.779 0.48092 0.17011 0.34898 0.02351 0.24682 0.24682
43 -2219.703 0.18601 0.59932 0.21467 0.00222 0.12955 0.49906
44 -2130.983 0.19238 0.55102 0.25660 0.00000 0.11754 0.39148
45 -2137.994 0.18055 0.63644 0.18301 0.01055 0.17745 0.55899
46 -2065.048 0.42553 0.18739 0.38707 0.02701 0.25707 0.25707
47 -2237.228 0.22601 0.47300 0.30099 0.01815 0.12870 0.49346
48 -1957.748 0.31121 0.60405 0.08474 0.00824 0.19581 0.57300
49 -2202.680 0.29305 0.33084 0.37611 0.01532 0.13370 0.35194
50 -2063.207 0.52004 0.15120 0.32876 0.04229 0.15182 0.48088
