trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -2036.500 0.09507 0.54103 0.32439 0.03951 0.00000 0.07397 0.30306 0.75103
2 -2246.376 0.21125 0.21615 0.37856 0.19404 0.00290 0.14051 0.14051 0.48631
3 -1908.779 0.22457 0.17256 0.52674 0.07612 0.00000 0.15024 0.15024 0.77365
4 -2094.752 0.25144 0.11744 0.44748 0.18365 0.00740 0.13937 0.13937 0.40809
5 -2206.083 0.08260 0.11899 0.44857 0.34985 0.00444 0.00444 0.10327 0.43254
6 -2010.876 0.24855 0.15527 0.39624 0.19995 0.00000 0.09880 0.09880 0.46100
7 -2148.455 0.21981 0.37741 0.26004 0.14274 0.00000 0.15993 0.15993 0.62255
8 -1980.812 0.30087 0.34941 0.33870 0.01101 0.00431 0.12916 0.39960 1.50404
9 -1920.485 0.57006 0.11168 0.20053 0.11772 0.04619 0.10889 0.39060 0.39060
10 -2183.597 0.45323 0.10778 0.38551 0.05349 0.03162 0.22904 0.22904 0.94895
11 -2013.887 0.39071 0.32728 0.11650 0.16551 0.02428 0.17311 0.17311 0.38816
12 -2190.142 0.14309 0.44484 0.35879 0.05328 0.00000 0.06985 0.28788 1.04085
13 -2059.574 0.27153 0.09427 0.57510 0.05911 0.00000 0.19070 0.19070 0.96675
14 -2067.978 0.13217 0.30252 0.42804 0.13727 0.01677 0.01677 0.19684 0.45683
15 -2011.784 0.26075 0.31808 0.38552 0.03564 0.00516 0.08209 0.19135 0.61873
16 -2040.752 0.21711 0.37645 0.39759 0.00885 0.00000 0.06982 0.26265 0.88469
17 -2178.040 0.27848 0.44177 0.18914 0.09061 0.00831 0.16360 0.16408 0.71238
18 -1917.377 0.13437 0.38188 0.46785 0.01591 0.00004 0.02132 0.20598 0.74234
19 -2170.546 0.13635 0.50149 0.16902 0.19314 0.00000 0.10160 0.32427 0.32427
20 -2086.538 0.10880 0.62906 0.14448 0.11765 0.00000 0.07731 0.30634 0.60303
21 -2162.944 0.15978 0.57118 0.24840 0.02064 0.02810 0.11073 0.39940 1.25351
22 -1991.099 0.32719 0.43937 0.14573 0.08771 0.00573 0.15537 0.15537 0.45865
23 -2123.827 0.20107 0.20429 0.38004 0.21460 0.00889 0.12969 0.12969 0.38658
24 -2078.162 0.28081 0.19068 0.46174 0.06677 0.00375 0.19802 0.19802 0.61703
25 -1995.211 0.28927 0.39390 0.19374 0.12309 0.00000 0.09439 0.32989 0.73686
26 -2040.253 0.39622 0.20343 0.20103 0.19931 0.02688 0.19730 0.29746 0.29746
27 -2179.623 0.24142 0.21235 0.35685 0.18937 0.01517 0.14112 0.14112 0.34632
28 -2030.178 0.27637 0.32563 0.30419 0.09381 0.00000 0.14672 0.14672 0.52998
29 -1919.175 0.08288 0.57838 0.15343 0.18531 0.00000 0.04488 0.31300 0.31300
30 -2102.230 0.41834 0.27384 0.04005 0.26776 0.04524 0.19247 0.19247 0.51289
31 -2046.419 0.27073 0.57319 0.14339 0.01270 0.00000 0.12518 0.43747 1.26119
32 -2121.568 0.18685 0.25751 0.32391 0.23173 0.00000 0.13551 0.13551 0.44823
33 -2158.817 0.25714 0.50533 0.20107 0.03646 0.00000 0.18388 0.36370 0.86068
34 -2108.893 0.23857 0.47921 0.24414 0.03809 0.01073 0.14475 0.29125 1.46308
35 -2167.693 0.23102 0.46758 0.27279 0.02861 0.00000 0.08782 0.35311 0.99565
36 -2309.733 0.09066 0.27079 0.41178 0.22677 0.00000 0.11832 0.11832 0.64437
37 -2220.887 0.18985 0.19654 0.39230 0.22131 0.00000 0.14288 0.14288 0.42131
38 -2115.387 0.08947 0.48230 0.18697 0.24127 0.00000 0.04570 0.35716 0.35716
39 -2209.748 0.09820 0.12049 0.24192 0.53938 0.04376 0.04376 0.04376 0.38043
40 -2110.964 0.25550 0.24687 0.22447 0.27316 0.01657 0.12544 0.12544 0.34008
41 -2228.805 0.08353 0.17396 0.21285 0.52966 0.00000 0.06435 0.06435 0.25746
42 -2043.779 0.48092 0.28630 0.07434 0.15844 0.02351 0.24682 0.24682 0.24682
43 -2219.703 0.18601 0.30684 0.29248 0.21467 0.00222 0.12955 0.12955 0.49906
44 -2130.743 0.17524 0.41032 0.35258 0.06185 0.00000 0.08999 0.25951 0.62353
45 -2137.994 0.18055 0.25003 0.38641 0.18301 0.01055 0.17745 0.17745 0.55899
46 -2065.048 0.42553 0.14439 0.14108 0.28900 0.02701 0.25707 0.25707 0.25707
47 -2237.228 0.22601 0.47300 0.15338 0.14761 0.01815 0.12870 0.49346 0.49346
48 -1957.740 0.24668 0.15895 0.52489 0.06949 0.00171 0.08225 0.21714 0.60478
49 -2202.680 0.29305 0.33084 0.14834 0.22777 0.01532 0.13370 0.35194 0.35194
50 -2063.207 0.24852 0.27152 0.15121 0.32876 0.04229 0.04229 0.15182 0.48088
