trial LL w 
1 -1787.759 0.08351
2 -1989.680 0.10531
3 -1832.353 0.06819
4 -1820.457 0.08335
5 -1946.037 0.08814
6 -1859.683 0.08550
7 -1888.794 0.08608
8 -1895.695 0.08089
9 -1894.404 0.08638
10 -1850.599 0.07844
11 -1973.935 0.12494
12 -1942.908 0.06499
13 -1765.363 0.07657
14 -1787.725 0.07130
15 -1674.344 0.04827
16 -2032.955 0.14306
17 -2032.721 0.09390
18 -1933.968 0.07329
19 -1909.397 0.08661
20 -1820.268 0.05727
21 -1904.281 0.08098
22 -1895.150 0.07883
23 -1952.732 0.08183
24 -1891.846 0.07753
25 -1958.818 0.07730
26 -1777.841 0.07614
27 -1968.550 0.07801
28 -1781.106 0.09380
29 -1889.453 0.06588
30 -1910.170 0.09379
31 -1944.442 0.08669
32 -1874.705 0.08032
33 -1874.616 0.07959
34 -1900.847 0.07471
35 -2010.429 0.08911
36 -2104.647 0.11268
37 -1981.848 0.11307
38 -1816.603 0.07373
39 -1931.567 0.06896
40 -1903.600 0.07529
41 -1931.087 0.09401
42 -1990.735 0.10872
43 -1945.267 0.10405
44 -1917.012 0.07962
45 -1871.676 0.10122
46 -1955.563 0.09149
47 -1905.853 0.11423
48 -1875.365 0.08261
49 -1949.806 0.11464
50 -1973.957 0.08788
