trial LL p0 p1 w0 w1 
1 -1747.087 0.67654 0.32346 0.01801 0.20276
2 -1922.771 0.69508 0.30492 0.01908 0.28324
3 -1784.474 0.56456 0.43544 0.00000 0.17023
4 -1747.694 0.65818 0.34182 0.00383 0.23882
5 -1886.826 0.58252 0.41748 0.00737 0.19133
6 -1787.552 0.64661 0.35339 0.00767 0.22333
7 -1838.365 0.67341 0.32659 0.01815 0.23641
8 -1827.156 0.68863 0.31137 0.01249 0.20900
9 -1833.178 0.58502 0.41498 0.00507 0.21570
10 -1767.072 0.60684 0.39316 0.00000 0.19317
11 -1888.001 0.63709 0.36291 0.01004 0.36591
12 -1876.145 0.60471 0.39529 0.00647 0.15830
13 -1710.618 0.75680 0.24320 0.01695 0.30136
14 -1729.313 0.72537 0.27463 0.00995 0.25224
15 -1619.203 0.67861 0.32139 0.00000 0.16447
16 -1954.636 0.59049 0.40951 0.00976 0.32570
17 -1962.911 0.57904 0.42096 0.00759 0.20131
18 -1858.348 0.72700 0.27300 0.01132 0.27364
19 -1834.125 0.66940 0.33060 0.00711 0.25487
20 -1745.241 0.69716 0.30284 0.00482 0.16742
21 -1836.470 0.61950 0.38050 0.00381 0.21388
22 -1841.378 0.61049 0.38951 0.00712 0.19426
23 -1892.268 0.60989 0.39011 0.00896 0.20679
24 -1829.123 0.71599 0.28401 0.01470 0.24803
25 -1902.616 0.50345 0.49655 0.00642 0.14567
26 -1731.311 0.67109 0.32891 0.01130 0.22560
27 -1895.126 0.67429 0.32571 0.00856 0.23352
28 -1735.056 0.59877 0.40123 0.00778 0.22103
29 -1820.307 0.64816 0.35184 0.00367 0.18952
30 -1862.859 0.54494 0.45506 0.00752 0.21076
31 -1872.760 0.71581 0.28419 0.01590 0.29917
32 -1786.547 0.62200 0.37800 0.00255 0.23132
33 -1830.246 0.61364 0.38636 0.01215 0.19294
34 -1845.189 0.62003 0.37997 0.00654 0.18467
35 -1927.164 0.62126 0.37874 0.00814 0.22028
36 -2031.114 0.50836 0.49164 0.00351 0.23131
37 -1919.198 0.53580 0.46420 0.00473 0.22427
38 -1749.940 0.64440 0.35560 0.00248 0.19107
39 -1860.554 0.68690 0.31310 0.01032 0.21912
40 -1836.246 0.61903 0.38097 0.00375 0.19091
41 -1859.752 0.65670 0.34330 0.01756 0.23811
42 -1912.577 0.55533 0.44467 0.00316 0.24974
43 -1901.168 0.51325 0.48675 0.00802 0.20635
44 -1855.788 0.65536 0.34464 0.00802 0.21565
45 -1812.008 0.62129 0.37871 0.00975 0.24862
46 -1881.018 0.63899 0.36101 0.00799 0.22563
47 -1827.855 0.54525 0.45475 0.00000 0.26892
48 -1811.519 0.52276 0.47724 0.00000 0.16605
49 -1887.080 0.58908 0.41092 0.01555 0.25699
50 -1923.144 0.56938 0.43062 0.00625 0.22052
