trial LL p0 p1 p2 w0 w1 w2 
1 -1745.417 0.42957 0.50487 0.06556 0.00129 0.09967 0.42954
2 -1921.813 0.60563 0.24649 0.14788 0.01270 0.14371 0.40285
3 -1784.474 0.56456 0.00000 0.43544 0.00000 0.14877 0.17023
4 -1746.900 0.58711 0.20556 0.20733 0.00000 0.10595 0.31141
5 -1884.602 0.49136 0.43849 0.07016 0.00160 0.12564 0.44850
6 -1784.072 0.50088 0.31186 0.18726 0.00000 0.08244 0.33886
7 -1836.922 0.36353 0.40491 0.23156 0.00000 0.06021 0.28595
8 -1824.596 0.44732 0.36989 0.18279 0.00000 0.06256 0.28513
9 -1832.569 0.56894 0.40230 0.02876 0.00405 0.19124 0.58643
10 -1766.467 0.59918 0.30793 0.09289 0.00000 0.15421 0.33081
11 -1887.910 0.62935 0.19082 0.17983 0.00932 0.28529 0.44515
12 -1875.286 0.57770 0.40497 0.01733 0.00504 0.13970 0.51702
13 -1710.478 0.69238 0.12891 0.17871 0.01336 0.11413 0.34805
14 -1729.272 0.64182 0.09892 0.25927 0.00724 0.04439 0.26193
15 -1619.203 0.40520 0.27341 0.32139 0.00000 0.00000 0.16446
16 -1949.841 0.48303 0.36931 0.14767 0.00000 0.16484 0.59813
17 -1958.727 0.51596 0.42452 0.05952 0.00393 0.14044 0.56934
18 -1858.317 0.17142 0.56139 0.26719 0.00000 0.01577 0.27797
19 -1834.125 0.26786 0.40154 0.33060 0.00711 0.00711 0.25487
20 -1743.589 0.59196 0.33552 0.07252 0.00001 0.09531 0.35264
21 -1834.483 0.55388 0.35397 0.09214 0.00000 0.13596 0.42604
22 -1840.629 0.46337 0.27747 0.25916 0.00000 0.06782 0.24075
23 -1891.933 0.51004 0.21989 0.27008 0.00413 0.08021 0.25173
24 -1828.739 0.34410 0.41032 0.24558 0.00000 0.03739 0.27201
25 -1901.014 0.38366 0.46883 0.14751 0.00000 0.08440 0.26152
26 -1730.692 0.63391 0.32355 0.04254 0.00894 0.17649 0.47546
27 -1893.755 0.47764 0.26027 0.26209 0.00000 0.04892 0.27178
28 -1735.056 0.59877 0.15668 0.24455 0.00778 0.22103 0.22103
29 -1819.065 0.56766 0.25914 0.17320 0.00000 0.09213 0.27145
30 -1862.640 0.39479 0.20908 0.39614 0.00000 0.04993 0.22881
31 -1872.407 0.35898 0.39091 0.25011 0.00000 0.04225 0.32223
32 -1785.304 0.59213 0.32317 0.08470 0.00084 0.16914 0.42542
33 -1825.986 0.42270 0.47719 0.10011 0.00000 0.09559 0.45206
34 -1844.215 0.48500 0.31172 0.20327 0.00000 0.07699 0.25577
35 -1926.646 0.60058 0.35089 0.04854 0.00687 0.18553 0.44935
36 -2030.996 0.50374 0.49028 0.00598 0.00314 0.22454 0.78865
37 -1919.123 0.51047 0.22741 0.26212 0.00295 0.15641 0.26925
38 -1748.747 0.58619 0.26542 0.14838 0.00000 0.10484 0.31018
39 -1857.030 0.64277 0.33697 0.02026 0.00723 0.16980 1.07080
40 -1836.246 0.22999 0.38904 0.38098 0.00375 0.00375 0.19091
41 -1859.438 0.54978 0.22864 0.22159 0.01119 0.10435 0.29340
42 -1910.857 0.53367 0.43517 0.03116 0.00151 0.21482 0.81673
43 -1901.163 0.49574 0.08669 0.41757 0.00681 0.12533 0.21667
44 -1855.736 0.33604 0.33377 0.33019 0.00000 0.02021 0.22152
45 -1807.368 0.56101 0.41180 0.02719 0.00480 0.18878 0.93894
46 -1880.501 0.45265 0.25080 0.29655 0.00000 0.04841 0.25482
47 -1827.724 0.54054 0.23171 0.22775 0.00000 0.20427 0.33325
48 -1811.490 0.51908 0.23127 0.24965 0.00000 0.13504 0.19426
49 -1885.197 0.50187 0.36870 0.12943 0.00877 0.15123 0.45006
50 -1918.603 0.48668 0.45681 0.05651 0.00000 0.15117 0.62164
