trial LL p0 p1 p2 p3 w0 w1 w2 w3 
1 -1745.417 0.33997 0.09206 0.50246 0.06550 0.00000 0.00745 0.09993 0.42963
2 -1921.813 0.22273 0.38290 0.24649 0.14788 0.01270 0.01270 0.14371 0.40285
3 -1784.474 0.31898 0.24557 0.19055 0.24490 0.00000 0.00000 0.17023 0.17023
4 -1746.900 0.39083 0.19628 0.20556 0.20733 0.00000 0.00000 0.10595 0.31141
5 -1884.602 0.49136 0.31577 0.12271 0.07016 0.00160 0.12564 0.12564 0.44850
6 -1784.072 0.50088 0.11534 0.19652 0.18726 0.00000 0.08244 0.08244 0.33886
7 -1836.669 0.35332 0.38771 0.24992 0.00905 0.00000 0.05419 0.25339 0.86778
8 -1824.596 0.25098 0.19634 0.36989 0.18279 0.00000 0.00000 0.06256 0.28513
9 -1832.569 0.10932 0.45961 0.40230 0.02876 0.00404 0.00405 0.19124 0.58645
10 -1766.467 0.41981 0.17938 0.30793 0.09289 0.00000 0.00000 0.15421 0.33081
11 -1887.910 0.31072 0.31862 0.19082 0.17983 0.00932 0.00932 0.28529 0.44515
12 -1875.286 0.07179 0.50591 0.40497 0.01733 0.00504 0.00505 0.13970 0.51702
13 -1710.478 0.32340 0.36896 0.12892 0.17872 0.01336 0.01336 0.11412 0.34805
14 -1729.272 0.64180 0.09893 0.04337 0.21590 0.00724 0.04439 0.26193 0.26193
15 -1618.880 0.56011 0.11396 0.30992 0.01601 0.00000 0.00000 0.14943 0.46647
16 -1949.509 0.47226 0.29495 0.19843 0.03436 0.00000 0.13050 0.39246 0.97818
17 -1958.727 0.20250 0.31346 0.42452 0.05952 0.00393 0.00393 0.14044 0.56934
18 -1858.317 0.17140 0.20750 0.35390 0.26720 0.00000 0.01576 0.01577 0.27797
19 -1832.501 0.30964 0.35079 0.33035 0.00921 0.00631 0.00631 0.22853 1.34323
20 -1743.587 0.22575 0.37363 0.33030 0.07032 0.00001 0.00058 0.09771 0.35647
21 -1834.483 0.29951 0.25437 0.35397 0.09214 0.00000 0.00000 0.13596 0.42604
22 -1839.807 0.44605 0.20792 0.33492 0.01112 0.00000 0.04514 0.19149 0.82624
23 -1891.933 0.51004 0.21989 0.17494 0.09514 0.00413 0.08021 0.25173 0.25173
24 -1828.739 0.12669 0.21741 0.41032 0.24558 0.00000 0.00000 0.03739 0.27201
25 -1901.014 0.22740 0.15626 0.46883 0.14751 0.00000 0.00000 0.08440 0.26152
26 -1730.692 0.04476 0.58915 0.32355 0.04254 0.00893 0.00894 0.17649 0.47546
27 -1893.755 0.47764 0.26027 0.14997 0.11212 0.00000 0.04892 0.27178 0.27178
28 -1735.056 0.15026 0.44851 0.27465 0.12658 0.00777 0.00778 0.22103 0.22103
29 -1819.065 0.22927 0.33839 0.25914 0.17320 0.00000 0.00000 0.09213 0.27145
30 -1862.640 0.39479 0.20908 0.07949 0.31665 0.00000 0.04993 0.22881 0.22881
31 -1872.407 0.35957 0.20449 0.18617 0.24977 0.00001 0.03988 0.04510 0.32231
32 -1785.304 0.05553 0.53660 0.32318 0.08470 0.00084 0.00084 0.16914 0.42542
33 -1825.986 0.42270 0.00831 0.46888 0.10011 0.00000 0.09559 0.09559 0.45206
34 -1844.215 0.26612 0.21888 0.31172 0.20327 0.00000 0.00000 0.07699 0.25577
35 -1926.646 0.19341 0.40717 0.35089 0.04854 0.00687 0.00687 0.18553 0.44935
36 -2030.996 0.50374 0.26589 0.22439 0.00598 0.00314 0.22454 0.22454 0.78865
37 -1919.123 0.51047 0.11385 0.11356 0.26213 0.00295 0.15640 0.15642 0.26925
38 -1748.747 0.33790 0.24829 0.26542 0.14838 0.00000 0.00000 0.10484 0.31018
39 -1856.497 0.42964 0.26910 0.28145 0.01981 0.00000 0.03526 0.19050 1.08299
40 -1836.246 0.09638 0.52265 0.12156 0.25942 0.00375 0.00375 0.19091 0.19091
41 -1859.438 0.24941 0.30036 0.22864 0.22159 0.01119 0.01119 0.10434 0.29340
42 -1910.857 0.11070 0.42297 0.43517 0.03116 0.00149 0.00151 0.21482 0.81673
43 -1901.163 0.24681 0.24892 0.08669 0.41758 0.00681 0.00681 0.12532 0.21667
44 -1855.736 0.33604 0.33377 0.22727 0.10292 0.00000 0.02021 0.22152 0.22152
45 -1807.023 0.47428 0.24761 0.25455 0.02357 0.00000 0.08857 0.24128 0.99058
46 -1880.501 0.27412 0.17853 0.25080 0.29655 0.00000 0.00000 0.04841 0.25482
47 -1827.724 0.28774 0.25280 0.23171 0.22775 0.00000 0.00000 0.20427 0.33325
48 -1811.490 0.51908 0.23127 0.12921 0.12044 0.00000 0.13504 0.19426 0.19426
49 -1885.197 0.50187 0.24309 0.12560 0.12943 0.00877 0.15123 0.15123 0.45006
50 -1918.556 0.47947 0.28100 0.19167 0.04787 0.00000 0.12004 0.20436 0.66368
